geometry_id,protocol,split,is_ood,geometry_family,beta1,beta2,n_vertices,n_tetrahedra,min_clearance,quality_min,quality_mean,relative_path
PA_test_iid_0000_b11,A,test_iid,0,A,1,1,2437,10287,0.11659808563588253,0.4713010787963867,0.8605378866195679,protocol_A/test_iid/PA_test_iid_0000_b11
PA_test_iid_0001_b11,A,test_iid,0,A,1,1,2460,10442,0.10264573739118754,0.49372634291648865,0.8601374626159668,protocol_A/test_iid/PA_test_iid_0001_b11
PA_test_iid_0002_b11,A,test_iid,0,A,1,1,2551,10945,0.10296046495547581,0.460580050945282,0.8605738282203674,protocol_A/test_iid/PA_test_iid_0002_b11
PA_test_iid_0003_b11,A,test_iid,0,A,1,1,2422,10019,0.11956935236129895,0.4407939612865448,0.8554647564888,protocol_A/test_iid/PA_test_iid_0003_b11
PA_test_iid_0004_b11,A,test_iid,0,A,1,1,2422,10332,0.15918608049097088,0.47583091259002686,0.8635768890380859,protocol_A/test_iid/PA_test_iid_0004_b11
PA_test_iid_0005_b11,A,test_iid,0,A,1,1,2412,10209,0.13502988175066677,0.3801436126232147,0.8616945743560791,protocol_A/test_iid/PA_test_iid_0005_b11
PA_test_iid_0006_b11,A,test_iid,0,A,1,1,2534,10834,0.12320741565839177,0.5428717136383057,0.8630342483520508,protocol_A/test_iid/PA_test_iid_0006_b11
PA_test_iid_0007_b11,A,test_iid,0,A,1,1,2395,10154,0.14067409052389354,0.4940868616104126,0.8602936863899231,protocol_A/test_iid/PA_test_iid_0007_b11
PA_test_iid_0008_b11,A,test_iid,0,A,1,1,2447,10486,0.17011286567400322,0.4161023199558258,0.8628593683242798,protocol_A/test_iid/PA_test_iid_0008_b11
PA_test_iid_0009_b11,A,test_iid,0,A,1,1,2473,10597,0.1276189712487794,0.44490835070610046,0.8637855052947998,protocol_A/test_iid/PA_test_iid_0009_b11
PA_test_iid_0010_b11,A,test_iid,0,A,1,1,2337,9806,0.1493555077329986,0.49979716539382935,0.8561711311340332,protocol_A/test_iid/PA_test_iid_0010_b11
PA_test_iid_0011_b11,A,test_iid,0,A,1,1,2561,10992,0.15849383899210315,0.4036259353160858,0.8625264167785645,protocol_A/test_iid/PA_test_iid_0011_b11
PA_test_iid_0012_b11,A,test_iid,0,A,1,1,2491,10518,0.1079987978117237,0.46762630343437195,0.8565513491630554,protocol_A/test_iid/PA_test_iid_0012_b11
PA_test_iid_0013_b11,A,test_iid,0,A,1,1,2473,10476,0.13846009553966562,0.4948660731315613,0.8617481589317322,protocol_A/test_iid/PA_test_iid_0013_b11
PA_test_iid_0014_b11,A,test_iid,0,A,1,1,2421,10227,0.1303242279038842,0.5196599960327148,0.8595352172851562,protocol_A/test_iid/PA_test_iid_0014_b11
PA_test_iid_0015_b11,A,test_iid,0,A,1,1,2423,10317,0.2006549640968573,0.5443472862243652,0.8627642393112183,protocol_A/test_iid/PA_test_iid_0015_b11
PA_test_iid_0016_b11,A,test_iid,0,A,1,1,2496,10735,0.2185162075609573,0.4467337727546692,0.8622105121612549,protocol_A/test_iid/PA_test_iid_0016_b11
