model,protocol,degree,task,seed_count,iid_median,ood_median,ratio_median,iid_rank,ood_rank,ratio_rank
MGN-lite,A,0,A-k0,3,0.010127518884837627,0.010543127896962688,1.0370020303176128,1,1,3
MGN-lite,A,1,A-k1,3,0.21910166046582163,0.2287890871055424,1.0482913105551044,2,2,5
MGN-lite,A,2,A-k2,3,0.34870652318932116,0.47598518956452607,1.3847082719554697,2,3,6
MGN-lite,B,0,B-k0,3,0.009145058825670276,0.013781881529139355,1.5070303856825358,1,1,5
MGN-lite,B,1,B-k1,3,0.22543564530089497,0.26986280240118504,1.197072459597026,3,3,5
MGN-lite,B,2,B-k2,3,0.2755867792200297,0.34862179659307,1.2650164045595556,1,1,2
MGN-lite,C,0,C-k0,3,0.008617419402871746,0.009984669816331006,1.1790255372280014,1,1,4
MGN-lite,C,1,C-k1,3,0.1725009833741933,0.19859131279401482,1.1498026822507135,4,4,4
MGN-lite,C,2,C-k2,3,0.34307943111285566,0.46332565233111384,1.3617417803747491,2,3,5
MGN-lite,D,0,D-k0,3,0.010250011814641767,0.01340727057424374,1.2922515346744248,1,1,5
MGN-lite,D,1,D-k1,3,0.24795512286014854,0.2864455574005842,1.1471084634279158,3,4,5
MGN-lite,D,2,D-k2,3,0.360334335975349,0.40880513899028303,1.1290924500317907,2,2,2
RIGNO,A,0,A-k0,3,0.025811694575478165,0.02651621211495221,1.0272945093710877,4,4,2
RIGNO,A,1,A-k1,3,0.26458977439293313,0.26510511092278727,1.0019476812021044,3,3,3
RIGNO,A,2,A-k2,3,0.34910168261589475,0.4070699361784305,1.1359172543582698,3,2,3
RIGNO,B,0,B-k0,3,0.023222952335090835,0.029178883334601804,1.2587742789870604,4,3,2
RIGNO,B,1,B-k1,3,0.23331746482975058,0.24282560401857864,1.0407519394048192,4,2,3
RIGNO,B,2,B-k2,3,0.32781619544364565,0.3970727529775377,1.2112664306904197,2,2,1
RIGNO,C,0,C-k0,3,0.02278390787243446,0.02341015775504718,1.027486499950713,4,4,2
RIGNO,C,1,C-k1,3,0.1650534690127501,0.1751692009306901,1.0612876056374108,3,2,3
RIGNO,C,2,C-k2,3,0.372451894107419,0.4568010262449681,1.2204673096038914,3,2,3
RIGNO,D,0,D-k0,3,0.0262088907460381,0.029051095927372525,1.1084443141403864,4,4,2
RIGNO,D,1,D-k1,3,0.25238376371594634,0.2695613905842549,1.0680615369839783,4,2,4
RIGNO,D,2,D-k2,3,0.3993872305118511,0.46807853450333214,1.1686988094198363,3,3,5
Transolver,A,0,A-k0,3,0.03537726067355834,0.037930057240882886,1.0664269842415421,5,5,5
Transolver,A,1,A-k1,3,0.4188227524794638,0.4159689114056528,0.9931860409757682,5,5,2
Transolver,A,2,A-k2,3,0.5033788819238544,0.593263214994222,1.178561986404436,5,5,5
Transolver,B,0,B-k0,3,0.034723475266364406,0.049330142724793406,1.406737517618704,5,5,3
Transolver,B,1,B-k1,3,0.38372320994734765,0.4230182682722807,1.0732794188080612,5,5,4
Transolver,B,2,B-k2,3,0.4399078060686588,0.578863318040967,1.32213920017817,5,5,3
Transolver,C,0,C-k0,3,0.03169860846537631,0.033590898527763785,1.0591897946205269,5,5,3
Transolver,C,1,C-k1,3,0.27550071742385623,0.2822938651777804,1.0193922434299962,5,5,2
Transolver,C,2,C-k2,3,0.4916999524459243,0.6522071898728609,1.292845920187684,5,5,4
Transolver,D,0,D-k0,3,0.035092328804312276,0.04057572545018047,1.1308656862584598,5,5,3
Transolver,D,1,D-k1,3,0.36548703277483585,0.3862917209416628,1.056923190978554,5,5,3
Transolver,D,2,D-k2,3,0.5729507326893508,0.6554934731125832,1.1669965003637766,5,5,4
GNOT,A,0,A-k0,3,0.02022884651669301,0.02213540114578791,1.0942493002515785,3,3,6
GNOT,A,1,A-k1,3,0.3257355071231723,0.32944078648462893,1.0113751165606135,4,4,4
GNOT,A,2,A-k2,3,0.4170970509015024,0.48637690782547,1.1563825627097044,4,4,4
GNOT,B,0,B-k0,3,0.01827779818617273,0.03500492988503538,1.9115866550237888,3,4,6
GNOT,B,1,B-k1,3,0.21613463531248273,0.3079116935096681,1.4773425128644508,2,4,6
GNOT,B,2,B-k2,3,0.41373343570157883,0.5598653769493103,1.3532031221985519,4,4,6
GNOT,C,0,C-k0,3,0.016121804503491148,0.019616060444386674,1.229089051263478,3,3,6
GNOT,C,1,C-k1,3,0.08791027511935681,0.10558163557201623,1.2057074261200302,1,1,6
GNOT,C,2,C-k2,3,0.4211112085916102,0.5768615715578198,1.3744998431797952,4,4,6
GNOT,D,0,D-k0,3,0.0221435262815794,0.02890282151987776,1.376843643094144,3,3,6
GNOT,D,1,D-k1,3,0.2296160571742803,0.2863559432700276,1.2471076578615812,2,3,6
GNOT,D,2,D-k2,3,0.49416440092027186,0.623934934027493,1.2626059927942042,4,4,6
GAOT,A,0,A-k0,3,0.3190006630681455,0.3205462274700403,1.004845019402247,6,6,1
GAOT,A,1,A-k1,3,0.5407632260024547,0.5296794358640909,0.979679386642364,6,6,1
GAOT,A,2,A-k2,3,0.8479116933047771,0.8580842173099518,1.0077865917581075,6,6,2
GAOT,B,0,B-k0,3,0.31986578879877925,0.315519651658833,0.9864126227557262,6,6,1
GAOT,B,1,B-k1,3,0.5413073962181807,0.5359051483497024,0.9901828951971965,6,6,2
GAOT,B,2,B-k2,3,0.5165520238503813,0.68562126301229,1.3257244185480916,6,6,4
GAOT,C,0,C-k0,3,0.325346789136529,0.32355778956785797,0.9942672162359038,6,6,1
GAOT,C,1,C-k1,3,0.5174225991219282,0.5216098552942277,1.0084267597265189,6,6,1
GAOT,C,2,C-k2,3,0.6655697935447097,0.7927930309996009,1.1867951534222776,6,6,2
GAOT,D,0,D-k0,3,0.31775510439649224,0.31396898778155446,0.9880698749366658,6,6,1
GAOT,D,1,D-k1,3,0.5476018055900931,0.5413471910357476,0.9875923116528752,6,6,2
GAOT,D,2,D-k2,3,0.7097922774031759,0.825326479151845,1.1614203525971927,6,6,3
TNO,A,0,A-k0,3,0.015545309029403143,0.0161221300548641,1.0388182578754317,2,2,4
TNO,A,1,A-k1,3,0.10290199377574026,0.10857082394883037,1.0510108668329814,1,1,6
TNO,A,2,A-k2,3,0.17604699119459838,0.1769969871873036,1.005396263726286,1,1,1
TNO,B,0,B-k0,3,0.014396464542369359,0.021592933163046838,1.495909684022322,2,2,4
TNO,B,1,B-k1,3,0.121592216915451,0.1057530309073627,0.8775839251898161,1,1,1
TNO,B,2,B-k2,3,0.3848020030371845,0.521047703847289,1.3511230419994429,3,3,5
TNO,C,0,C-k0,3,0.013104173155734316,0.015979668612126262,1.2057969463412568,2,2,5
TNO,C,1,C-k1,3,0.16222597301006317,0.18809112696908414,1.1558959150649626,2,3,5
TNO,C,2,C-k2,3,0.18401020676828922,0.14282097352202983,0.7761578883603667,1,1,1
TNO,D,0,D-k0,3,0.01609525920561282,0.019603860763600097,1.2179897517129603,2,2,4
TNO,D,1,D-k1,3,0.13615816709119827,0.11686817601788789,0.8583265955659494,1,1,1
TNO,D,2,D-k2,3,0.2477990128658712,0.22180535703431814,0.8939898642241833,1,1,1
