model,protocol,degree,analysis_role,Q_geometry_cluster_mean,ci95_low,ci95_high,significantly_greater_than_1,significantly_less_than_1,bootstrap_repeats,iid_geometry_count_A,ood_geometry_count_A,iid_geometry_count_topology_protocol,ood_geometry_count_topology_protocol
MGN-lite,B,0,control,1.4475898820810083,1.3249191705184413,1.5916723377675186,True,False,1000,200,200,200,200
MGN-lite,B,1,primary_topology_degree,1.1412849770061204,1.0990938157202241,1.1825782561900966,True,False,1000,200,200,200,200
MGN-lite,B,2,control,0.9192362532593791,0.8741383515991827,0.9680273178780253,False,True,1000,200,200,200,200
MGN-lite,C,0,control,1.1354731910417288,1.043284544893974,1.2362232483779345,True,False,1000,200,200,200,200
MGN-lite,C,1,control,1.0935552978651946,1.044056657613706,1.1455040733801818,True,False,1000,200,200,200,200
MGN-lite,C,2,primary_topology_degree,0.9934637119455635,0.9438957190237678,1.0449184264943474,False,False,1000,200,200,200,200
MGN-lite,D,0,control,1.2456849006070811,1.1366248898849864,1.3618242876930233,True,False,1000,200,200,200,200
MGN-lite,D,1,primary_topology_degree,1.0906772435362284,1.0549241716789786,1.1302757134020538,True,False,1000,200,200,200,200
MGN-lite,D,2,primary_topology_degree,0.8222472682214597,0.7811853152571857,0.8656799477661647,False,True,1000,200,200,200,200
RIGNO,B,0,control,1.2283001603829167,1.111319667575517,1.3442218722894215,True,False,1000,200,200,200,200
RIGNO,B,1,primary_topology_degree,1.018107164081416,0.9972363265357389,1.0408333706129966,False,False,1000,200,200,200,200
RIGNO,B,2,control,1.0753506632008487,1.0388630822337757,1.1096288018396168,True,False,1000,200,200,200,200
RIGNO,C,0,control,1.0028106466792406,0.9192720038575876,1.093983320678634,False,False,1000,200,200,200,200
RIGNO,C,1,control,1.0610269583050165,1.030897672397938,1.09064103282988,True,False,1000,200,200,200,200
RIGNO,C,2,primary_topology_degree,1.0841107530281333,1.0479572761128626,1.1209921841864852,True,False,1000,200,200,200,200
RIGNO,D,0,control,1.0825611316111334,0.9866255205624499,1.1885430204668506,False,False,1000,200,200,200,200
RIGNO,D,1,primary_topology_degree,1.04645064982538,1.022931668680982,1.070158465923041,True,False,1000,200,200,200,200
RIGNO,D,2,primary_topology_degree,1.0224722015820364,0.9895680672699173,1.0567093317054792,False,False,1000,200,200,200,200
Transolver,B,0,control,1.324116072940351,1.1935518948029975,1.4647196067268284,True,False,1000,200,200,200,200
Transolver,B,1,primary_topology_degree,1.0695690893144367,1.0490562378253088,1.0925427756807733,True,False,1000,200,200,200,200
Transolver,B,2,control,1.1315857391644328,1.0859376766164217,1.1814308729826624,True,False,1000,200,200,200,200
Transolver,C,0,control,0.9918807486617245,0.8946474642900516,1.100090549282127,False,False,1000,200,200,200,200
Transolver,C,1,control,1.0162441751995646,0.9915870238542377,1.0401525025015705,False,False,1000,200,200,200,200
Transolver,C,2,primary_topology_degree,1.105022971153507,1.0591621569117193,1.149707358779915,True,False,1000,200,200,200,200
Transolver,D,0,control,1.0579032720462545,0.9578392731584344,1.1780313926975818,False,False,1000,200,200,200,200
Transolver,D,1,primary_topology_degree,1.070725584054468,1.0508036366578593,1.0924941760504516,True,False,1000,200,200,200,200
Transolver,D,2,primary_topology_degree,0.9883225520920214,0.9490949866014661,1.025135419763771,False,False,1000,200,200,200,200
GNOT,B,0,control,1.7946089721896819,1.631208444674123,1.989347954918994,True,False,1000,200,200,200,200
GNOT,B,1,primary_topology_degree,1.5318918847774035,1.485168256404609,1.5884783692760092,True,False,1000,200,200,200,200
GNOT,B,2,control,1.1692977167215206,1.120154936418441,1.2204483623665794,True,False,1000,200,200,200,200
GNOT,C,0,control,1.1238700581333745,1.0242899215772463,1.2200669343105708,True,False,1000,200,200,200,200
GNOT,C,1,control,1.1848368482058182,1.1489961371063817,1.220131542767223,True,False,1000,200,200,200,200
GNOT,C,2,primary_topology_degree,1.1890809114283019,1.1399404587286885,1.2432909275426245,True,False,1000,200,200,200,200
GNOT,D,0,control,1.2435637144895715,1.1273730281795087,1.365935695061297,True,False,1000,200,200,200,200
GNOT,D,1,primary_topology_degree,1.2373259580971039,1.2001949324374455,1.2788034959766599,True,False,1000,200,200,200,200
GNOT,D,2,primary_topology_degree,1.091128459517249,1.0466505599210758,1.1390216282266816,True,False,1000,200,200,200,200
GAOT,B,0,control,0.9817731116518911,0.9708825801041212,0.9936555254459324,False,True,1000,200,200,200,200
GAOT,B,1,primary_topology_degree,1.0102294578425928,0.9973809675718366,1.0225520898775051,False,False,1000,200,200,200,200
