model_group,scope,cell_count,geometry_ratio_A_geomean,topology_ratio_geomean,Q_geomean,Q_median,Q_gt_1_count,Q_gt_1_fraction
GAOT,all_BCD_degrees,9,0.9973567779613554,1.0638994700765108,1.0667190453662647,1.0107213734391522,6,0.6666666666666666
GAOT,primary_topology_degrees,4,0.9936336095764783,1.0774933020082418,1.0843969966630935,1.0815840469505689,4,1.0
GNOT,all_BCD_degrees,9,1.0857004687844973,1.3688716538491794,1.2608188844034565,1.1921466193673849,9,1.0
GNOT,primary_topology_degrees,4,1.0814511311886397,1.3372093993480159,1.236495446519408,1.2108507812525375,4,1.0
MGN-lite,all_BCD_degrees,9,1.1460580773477769,1.242370743637478,1.0840382073067265,1.0968350788311463,6,0.6666666666666666
MGN-lite,primary_topology_degrees,4,1.2048143629392427,1.2054169591488708,1.0005001568940115,1.0388395879140546,2,0.5
RIGNO,all_BCD_degrees,9,1.053486325245903,1.126529435223598,1.0693346541167918,1.0659853373806432,9,1.0
RIGNO,primary_topology_degrees,4,1.066831598258005,1.122129718336602,1.0518339728302868,1.052357082087715,4,1.0
TNO,all_BCD_degrees,9,1.031560448845718,1.0670493954208264,1.0344031671772793,1.099794446986102,5,0.5555555555555556
TNO,primary_topology_degrees,4,1.0279505818129608,0.8502682747160855,0.8271489794932523,0.8258290068810598,0,0.0
Transolver,all_BCD_degrees,9,1.076724810962919,1.1628130108838879,1.0799537625997304,1.0641744319525135,7,0.7777777777777778
Transolver,primary_topology_degrees,4,1.0819109544327385,1.1437816846262483,1.0571865271721455,1.0724086535155943,3,0.75
