scope,degree,variable,estimable_units,median_r2,median_standardized_slope,median_spearman_rho,significant_units
all,0,beta_total,18,0.03874953420159705,0.19657728370549282,0.31650970619240837,17
all,0,initial_rayleigh_quotient,24,0.774512485559073,0.8800523796604276,0.8365047627948294,24
all,0,log_lambda1_positive,24,0.006573169842517157,-0.03368966106654907,-0.08196367142550172,14
all,0,log_nk,24,0.023145552962562932,0.11284587207945018,0.19227324550245134,18
all,0,target_norm_retention,24,0.7519772093617665,-0.8671642821317906,-0.8204375929443722,24
all,1,beta_k,12,0.07054104329605809,0.16299302516349518,0.17409781358773957,11
all,1,beta_total,18,0.05060744606938178,0.1815607028502582,0.18708099733483702,17
all,1,initial_rayleigh_quotient,24,0.5499649343569004,0.7415493520526494,0.7289062915649577,24
all,1,log_lambda1_positive,24,0.009590644005965432,-0.06839757625995771,-0.09268635771869728,21
all,1,log_nk,24,0.030955449772651855,0.0935659460647856,0.11332225619091933,18
all,1,rho_H,18,0.25680193252337263,-0.5067476520322493,-0.528418728820588,18
all,1,target_norm_retention,24,0.4480618925642253,-0.6693602236907741,-0.6664515699029571,24
all,2,beta_k,12,0.18881007588800747,0.433676663931872,0.4780342256051312,12
all,2,beta_total,18,0.25225212462154867,0.502088636877766,0.5128771455158598,18
all,2,initial_rayleigh_quotient,24,0.4906290538307608,0.7004361187322257,0.7831925901142931,23
all,2,log_lambda1_positive,24,0.1428682679926634,-0.3776625176667776,-0.3574626015666382,20
all,2,log_nk,24,0.19541506542317666,0.44194494975141907,0.43978363994064174,24
all,2,rho_H,18,0.25287529470869846,-0.46774141894853816,-0.44737449999013357,18
all,2,target_norm_retention,24,0.19165161927592472,-0.384554087116324,-0.3594118357077484,24
iid,0,beta_total,18,0.04019743094259792,0.16803988925243532,0.3099211589950105,14
iid,0,initial_rayleigh_quotient,24,0.780958215286985,0.8836993221281672,0.8289965921821754,24
iid,0,log_lambda1_positive,24,0.004091625109798047,-0.021402768965256433,-0.07568125653001503,11
iid,0,log_nk,24,0.021620163796973513,0.07733707734675165,0.19063083203078593,18
iid,0,target_norm_retention,24,0.7667998952028531,-0.8756196090146149,-0.8158079387624044,24
iid,1,beta_k,12,0.05147643831621829,0.1569439810709497,0.18176074698887074,11
iid,1,beta_total,18,0.053704284878403286,0.19808836831984672,0.206593770946232,16
iid,1,initial_rayleigh_quotient,24,0.5301013106037531,0.7275408385791153,0.7286037790684048,24
iid,1,log_lambda1_positive,24,0.013734327968610904,-0.10523278211406799,-0.10476960906682319,22
iid,1,log_nk,24,0.03930722358162181,0.11848108594587521,0.12508122828349075,18
iid,1,rho_H,18,0.23365969800615943,-0.4833416539070611,-0.46967211365976724,18
iid,1,target_norm_retention,24,0.40079247810754104,-0.632715716542605,-0.6405306609854078,24
iid,2,beta_k,12,0.1889342956573405,0.3748289634884986,0.4299343757317825,12
iid,2,beta_total,18,0.20642253434240088,0.45431002228959616,0.5022776849492847,18
iid,2,initial_rayleigh_quotient,24,0.5305295513122669,0.7283633479152124,0.8003037270370736,24
iid,2,log_lambda1_positive,24,0.11210779252077535,-0.3125658830708239,-0.3345167874611437,20
iid,2,log_nk,24,0.20119721201803076,0.4444271796354492,0.47818163407236,23
iid,2,rho_H,18,0.3233195981604626,-0.30112508170747143,-0.19965917985978088,16
iid,2,target_norm_retention,24,0.244199397350099,-0.4052478433721791,-0.4125866837291934,21
ood,0,initial_rayleigh_quotient,24,0.815679666762152,0.9031498584188934,0.9011834901304534,24
ood,0,log_lambda1_positive,24,0.001543544839555877,0.022039113680279415,0.024286072551068683,1
ood,0,log_nk,24,0.00022628792478501802,-0.007157929622744547,0.0019334843906988128,1
ood,0,target_norm_retention,24,0.8057079170817889,-0.8976108131357996,-0.8934715444867883,24
ood,1,initial_rayleigh_quotient,24,0.6382005873212361,0.7988739898730624,0.8137675488555453,24
ood,1,log_lambda1_positive,24,0.0036683104699764546,0.004146685292200428,9.951694671628264e-05,12
ood,1,log_nk,24,0.0007828737679275166,0.01267056929311131,0.004025081790034871,5
ood,1,rho_H,18,0.36827198983400783,-0.6068509538837827,-0.6502550469234482,18
ood,1,target_norm_retention,24,0.5819622343051261,-0.7628437207062684,-0.750884333413021,24
ood,2,initial_rayleigh_quotient,24,0.46175122808043795,0.6795206877075116,0.7383308489544516,23
ood,2,log_lambda1_positive,24,0.002458028412886948,0.031052000899695224,0.03573089642842167,13
ood,2,log_nk,24,0.004219362083521361,0.06487216599606091,0.09221376814158325,17
ood,2,rho_H,18,0.4109737989272864,-0.6408073216927923,-0.7406674931608201,18
ood,2,target_norm_retention,24,0.35571792856053824,-0.5963310387324068,-0.6675292031706299,24
