scope,variable,estimable_units,median_r2,mean_r2,median_abs_standardized_slope,median_spearman_rho,significant_units,significant_fraction
all,beta_k,24,0.1057924095267796,0.15056836096962,0.32525723163594855,0.3305371739291202,23,0.9583333333333334
all,beta_total,54,0.06689225058450443,0.13732612467726893,0.2585462864409144,0.32383289877811294,52,0.9629629629629629
all,initial_rayleigh_quotient,72,0.5849629258356144,0.5372497786377178,0.764828678162495,0.7838319433913842,71,0.9861111111111112
all,log_lambda1_positive,72,0.011926568260933024,0.06150418739285183,0.10878016367859555,-0.11571706915767663,55,0.7638888888888888
all,log_nk,72,0.048444849689670944,0.11220999263558865,0.2199740257560089,0.21092470687832496,60,0.8333333333333334
all,rho_H,36,0.25680193252337263,0.28934607153795544,0.5067476520322493,-0.521070539193748,36,1.0
all,target_norm_retention,72,0.45510818992551394,0.4596930722358015,0.6746164387516782,-0.6925085490790654,72,1.0
iid,beta_k,24,0.1124639689747538,0.1452045899082903,0.3353564732265777,0.3214880489156387,23,0.9583333333333334
iid,beta_total,54,0.07627027736861536,0.12510744555933087,0.27614200133039546,0.3297065856592445,48,0.8888888888888888
iid,initial_rayleigh_quotient,72,0.6409364197418053,0.5462956042272871,0.8005818693439297,0.7963283341067722,72,1.0
iid,log_lambda1_positive,72,0.012469636192541877,0.05471901911463358,0.11166731285853199,-0.12830969316711877,53,0.7361111111111112
iid,log_nk,72,0.04897937448206202,0.10188487531861547,0.22131128450605583,0.22002533442309347,59,0.8194444444444444
iid,rho_H,36,0.255889581387099,0.2809888610949419,0.5056054638673867,-0.4594240167084426,34,0.9444444444444444
iid,target_norm_retention,72,0.49558472330603887,0.4696233837990045,0.7039641212738458,-0.7212742168347139,69,0.9583333333333334
ood,initial_rayleigh_quotient,72,0.6204498772575234,0.5786537274388266,0.7876819082628679,0.820666504947664,71,0.9861111111111112
ood,log_lambda1_positive,72,0.0026357271187675835,0.004690108238841931,0.05133640313314266,0.024286072551068683,26,0.3611111111111111
ood,log_nk,72,0.0008227549907723897,0.00569528108583033,0.02868314800890068,0.017531351207631243,23,0.3194444444444444
ood,rho_H,36,0.37195731086139616,0.38093072628963853,0.6098821198958836,-0.6937268983324322,36,1.0
ood,target_norm_retention,72,0.5926785350633499,0.5430755336998776,0.7698549383614093,-0.7813275255117587,72,1.0
