scope,degree,metric,median,mean,q25,q75,minimum,maximum
all,0,rho_J_error,0.6886900278086048,0.600714636211454,0.5964552957344905,0.7366344432654076,0.16332786848744865,0.7983373518895907
all,1,rho_J_error,0.3604233590520934,0.35185986918870454,0.21728963956626546,0.5538519144483802,-0.352824301884493,0.8366958385530621
all,2,rho_J_error,0.46554302071993,0.38297119925445067,0.1902473272450497,0.644206604426408,-0.39269463972446866,0.8340764104063687
iid,0,rho_J_error,0.6825373008395326,0.6073118600575939,0.5975983907787357,0.7339674417460027,0.16478622622847852,0.7890897095151712
iid,1,rho_J_error,0.4142039323498944,0.33426441550307867,0.18241663268223857,0.530845731790206,-0.3200269297295777,0.773199669061983
iid,2,rho_J_error,0.5298322341128658,0.399050800274688,0.13636884588882173,0.6738874259959782,-0.5237647011948457,0.8835840446625699
ood,0,rho_J_error,0.7372798277809809,0.6516472320659877,0.6647635738493343,0.7775120058781343,0.16909807671574487,0.8430394734991774
ood,1,rho_J_error,0.4674167147136168,0.4269004189850297,0.3645459797593434,0.5682396945151478,-0.34500164062756355,0.9496741244908196
ood,2,rho_J_error,0.22731535908649858,0.2205756561729003,0.04686303806724698,0.39783343411474087,-0.09622154097115777,0.5604038053184459
all,0,rho_R_error,0.8365047627948294,0.7614912527918346,0.7521027635167046,0.884217037780093,0.3866532555286155,0.9479655333849741
all,1,rho_R_error,0.7289062915649577,0.6491980961396191,0.4894550024726573,0.833621894390813,0.14364335493881053,0.9569407026308463
all,2,rho_R_error,0.7831925901142931,0.6822674323932826,0.6407036006166409,0.8543237179975461,-0.14052537520522468,0.9070081169953582
iid,0,rho_R_error,0.8289965921821754,0.761797606324385,0.744849407967825,0.884585882165441,0.34890220922220194,0.9438774826210667
iid,1,rho_R_error,0.7286037790684048,0.6565568063085205,0.46527781098095466,0.841455939774906,0.16724716757369934,0.960199031560987
iid,2,rho_R_error,0.8003037270370736,0.6451485099976719,0.5055256980870283,0.8701818166903387,-0.2816382838098185,0.9032623879099811
ood,0,rho_R_error,0.9011834901304534,0.8259269926593635,0.8806838194278429,0.9296108138450216,0.36317477839809126,0.9679074967304637
