scope,metric,median,mean,q25,q75,minimum,maximum
all,rho_J_error,0.5033861883344486,0.4451819015515365,0.22934743431944643,0.6706897424569307,-0.39269463972446866,0.8366958385530621
iid,rho_J_error,0.5454705905790478,0.4468756919451202,0.23384844937257715,0.6873131325205196,-0.5237647011948457,0.8835840446625699
ood,rho_J_error,0.45664115490805457,0.43304110240797256,0.22004340045843823,0.6729937878809187,-0.34500164062756355,0.9496741244908196
all,rho_R_error,0.7838319433913842,0.6976522604415787,0.5271396644100252,0.8688353681974095,-0.14052537520522468,0.9569407026308463
iid,rho_R_error,0.7963283341067722,0.6878343075435258,0.5156804502819536,0.8720520852376332,-0.2816382838098185,0.960199031560987
ood,rho_R_error,0.820666504947664,0.7554247041141211,0.696119781046533,0.9118285028570359,-0.052415800649688524,0.9679074967304637
all,rho_q_error,-0.6925085490790654,-0.5757540089346778,-0.8470345640271736,-0.35956825764385064,-0.9566173609833443,0.4419122107078949
iid,rho_q_error,-0.7212742168347139,-0.5723842479042467,-0.8494924953007741,-0.3875056425869416,-0.9506444619444718,0.6139563733693334
ood,rho_q_error,-0.7813275255117587,-0.6943594905356624,-0.9125074355584932,-0.501462390956861,-0.9643415927212388,0.4543282333253646
all,partial_rho_J_error_given_R,0.008868947550013002,0.030731916116722817,-0.08366424293863553,0.2691979138301274,-0.8348817813560927,0.8334953874892446
iid,partial_rho_J_error_given_R,0.027267167131070177,0.07492780171990174,-0.11860092579673115,0.3576736114084023,-0.7871744619403817,0.8049635771647854
ood,partial_rho_J_error_given_R,-0.026852472648949306,-0.045156640371658244,-0.24033218221615693,0.11477688234512762,-0.7918446152722637,0.9486109140943689
all,partial_rho_J_error_given_q,0.2921345199250468,0.3224675136686646,0.08347009985135032,0.5791846743197202,-0.26700258203104876,0.8750364915714639
iid,partial_rho_J_error_given_q,0.3242993508362052,0.3389716540771655,0.08281918144649239,0.6302683725561992,-0.2539317829849791,0.8939637160116489
ood,partial_rho_J_error_given_q,0.25475821584161484,0.2792890658848371,0.06970386121659862,0.49317483707369475,-0.25018176606226233,0.9366305024138791
all,partial_rho_J_error_given_R_q,-0.0686255339490028,-0.0032476394914551184,-0.14593784732547188,0.13816138952770798,-0.47410731890575886,0.5455634280749612
iid,partial_rho_J_error_given_R_q,-0.06868135694795971,0.047923526636766,-0.13380392265288982,0.2675674285679329,-0.46832965136902793,0.6249775723414109
ood,partial_rho_J_error_given_R_q,-0.07439295224270574,-0.013090692807900404,-0.14691710878328842,0.07612315812983603,-0.427340829679442,0.775861683308797
all,delta_rank_R2_J_over_R,0.010043778112609147,0.07242414372819565,0.001135666494926857,0.09336781276966877,3.5917157659159926e-07,0.6803802282218802
iid,delta_rank_R2_J_over_R,0.02451255168257943,0.09455958206239837,0.0008232930064124289,0.1039110998138634,2.3098612149663467e-06,0.6304950901422374
ood,delta_rank_R2_J_over_R,0.01980443427803713,0.05072524003030592,0.00037451179834049886,0.05621804543295328,2.0293060176701516e-06,0.8802850696455533
all,delta_rank_R2_J_over_q,0.050991023261383606,0.15047842695033264,0.002948957447706513,0.22582995301282763,2.203103771969417e-06,0.7441418465575069
iid,delta_rank_R2_J_over_q,0.04874473587824235,0.1619143611386641,0.0027270851280179476,0.27628058807038824,2.6016298337872e-08,0.7346665550507311
ood,delta_rank_R2_J_over_q,0.038941733328528405,0.09231597951977769,0.0017865495064771086,0.1402698127441154,1.6284914577946452e-06,0.6961943797264499
all,delta_rank_R2_J_over_R_q,0.007326865120969528,0.019763027942654665,0.002190665643274997,0.02352947785831036,1.0205880003333334e-05,0.12641382989210914
iid,delta_rank_R2_J_over_R_q,0.008897513368608279,0.030529869304849997,0.0016303891127251169,0.03952642457004529,8.474984721196233e-05,0.2121080319748211
ood,delta_rank_R2_J_over_R_q,0.003919523203712305,0.019952246918860772,0.0011581022490902426,0.02861738174170042,1.1023989961334024e-05,0.1450397917269548
