model,task,beta_k,beta_total,initial_rayleigh_quotient,log_lambda1_positive,log_nk,rho_H,target_norm_retention
GAOT,A-k0,,,1.192540959875021e-55,0.6436463920140634,0.787099564576132,,3.1938861823193414e-60
GAOT,A-k1,,,1.8611619336705482e-184,0.00038087290690219666,0.24993653714265016,1.338931031650916e-131,2.1963335410952122e-156
GAOT,A-k2,,,6.760871695595834e-100,0.0020654842323445995,6.343333015736574e-13,1.5184901639625114e-115,8.455674199963683e-112
GAOT,B-k0,,1.7998012287014802e-08,1.0427239912875593e-51,0.0049772467623503845,6.629064292090933e-11,,1.3088874124883652e-56
GAOT,B-k1,0.9746697406811957,0.9746697406811957,4.479939344262071e-117,0.07736818549764503,0.2368013957703423,3.680779160048479e-64,1.8521638763552303e-69
GAOT,B-k2,,9.769802338001496e-154,1.734984996801294e-123,3.773106528545459e-132,8.621806984170996e-179,,5.179227278691944e-14
GAOT,C-k0,,0.02517133945957599,2.398049430128781e-49,0.1140660285996305,0.018665493028162915,,3.4516829035677665e-53
GAOT,C-k1,,1.9382311913038973e-06,1.4118838309796326e-15,0.10768506428578228,4.1616824231396696e-11,,2.6183846284106094e-35
GAOT,C-k2,2.135922969579614e-69,2.135922969579614e-69,0.00013305355701427748,3.863996723644417e-31,4.4959758638769646e-100,2.016878330361717e-17,1.5848529187191553e-15
GAOT,D-k0,,5.143347260325908e-06,2.727202290695288e-54,5.457817486766827e-07,1.4118720714290533e-07,,5.988300382920495e-59
GAOT,D-k1,6.402623117095685e-06,0.00026022934888458686,1.354579339322512e-132,0.0021126470014757384,6.427801529644165e-05,5.086048322612518e-86,1.7397846155283885e-89
GAOT,D-k2,6.9353648814682e-47,6.959707814894702e-42,0.7452380670732905,1.7245727474780727e-20,6.15209987551965e-49,2.554308950951852e-42,2.3305465101744477e-40
GNOT,A-k0,,,1.8705477173228709e-134,0.5974244155404809,0.9035977910472545,,9.338355689092387e-134
GNOT,A-k1,,,5.1770484085793026e-161,4.752124438546164e-07,0.6120450169162395,3.1476566904051043e-143,2.2938642042127665e-113
GNOT,A-k2,,,7.87232499513229e-107,0.9592009646927686,6.555711079708026e-12,5.868383944898877e-110,1.753227444812983e-95
GNOT,B-k0,,3.184950920685886e-85,1.434796550275738e-85,2.414624725274404e-20,1.2347797437646381e-84,,9.099022292098991e-85
