model,task,beta_k,beta_total,initial_rayleigh_quotient,log_lambda1_positive,log_nk,rho_H,target_norm_retention
GAOT,A-k0,,,0.30076270961529494,0.00015965067983936265,5.790236169389562e-05,,0.30950045520160274
GAOT,A-k1,,,0.8079891106382326,0.004349092573477598,0.0004030436898972978,0.48735965838680473,0.7157731976366352
GAOT,A-k2,,,0.49662135030088406,0.0022156539735912473,0.01054166456960648,0.3860915983155009,0.522532745536202
GAOT,B-k0,,0.02248511094166228,0.26049737413089513,0.008272368640026895,0.02848886215084212,,0.27686256106332463
GAOT,B-k1,5.490313546019365e-07,5.490313546019365e-07,0.5847526559368827,0.0013331432612549987,0.0007745493074553522,0.22154891422939849,0.3925103471149216
GAOT,B-k2,,0.5692213477722382,0.6954885043265707,0.42135920562695517,0.5990678653785276,,0.05175495428098287
GAOT,C-k0,,0.003157232432574264,0.2828649299341287,0.0014650910744710144,0.0034188983830311104,,0.2953874739362754
GAOT,C-k1,,0.015765480765407736,0.04261844329274256,0.0023653801932259633,0.025619768789378883,,0.1837295813135209
GAOT,C-k2,0.389604073610904,0.389604073610904,0.010194483051856995,0.25018046330074406,0.46311766262283416,0.0905292582467151,0.09466891608159933
GAOT,D-k0,,0.014207086093948496,0.2772085859546417,0.01692588296992692,0.01939494271253428,,0.28884317289596706
GAOT,D-k1,0.012825689719359712,0.007221692645724365,0.6460288224145947,0.0053212365420852725,0.01070115369508673,0.2538040272605645,0.45635248076603185
GAOT,D-k2,0.378938296488738,0.3331767002721969,5.288687105875489e-05,0.21077683072548814,0.3745999076608446,0.23834690894566857,0.26172317926110755
GNOT,A-k0,,,0.7838081493243655,0.00021201895494582512,1.0041593038634389e-05,,0.7855430092946039
GNOT,A-k1,,,0.6500977288621042,0.009823487272824005,8.875223649484898e-05,0.49953198195060733,0.4858288317046662
GNOT,A-k2,,,0.5231513288735337,1.124496057158808e-06,0.025358122514369752,0.3892309850830835,0.3757095428180983
GNOT,B-k0,,0.275262235018492,0.5013462022658952,0.09974976243046918,0.2579937047491915,,0.5099797123797618
GNOT,B-k1,0.40324495684406714,0.40324495684406714,0.03974711922517982,0.13264922693712355,0.3754758417400961,0.006482461565063713,0.011736509663409334
GNOT,B-k2,,0.42649610802219906,0.6955193829244409,0.28937574789502074,0.4381907858507713,,0.08043846550924916
GNOT,C-k0,,0.07257451954423222,0.6606784185571445,0.006756137298728371,0.0779870696685383,,0.6632083717791648
GNOT,C-k1,,0.46430842838492925,0.21459846628129675,0.16062324976951337,0.5006795756564211,,0.08754203497614144
GNOT,C-k2,0.2876563729444658,0.2876563729444658,0.2581147330507748,0.1945710455860732,0.2889537582131749,0.031181764616787344,0.013756374977654251
GNOT,D-k0,,0.06338255346891042,0.7110431277723177,0.02003589130717276,0.06910091204646351,,0.7173193100745734
GNOT,D-k1,0.2749320706709507,0.23787415579279847,0.07359108839763151,0.12286415074635182,0.2483805777134087,0.007482356942174695,0.026415181132522503
GNOT,D-k2,0.1582429924394504,0.17716483963885943,0.4206407136433038,0.13118412594921958,0.18658824806795193,0.13004780056749266,0.10014560242713588
MGN-lite,A-k0,,,0.8615377958951754,0.004825829875419907,0.0013451756769277123,,0.856892088720611
MGN-lite,A-k1,,,0.6477124519754305,0.004750662491883828,0.0017067558436310026,0.37854234256937425,0.6890435968053921
MGN-lite,A-k2,,,0.55356557908875,0.0024158155916956803,0.05448862256299147,0.47497228676561853,0.496501686422926
MGN-lite,B-k0,,0.12014326528977803,0.7147582894060704,0.028385994055691866,0.11379097205604338,,0.7140884221619609
MGN-lite,B-k1,0.1375795571790177,0.1375795571790177,0.28978246994385015,0.03517286825827404,0.14377859569254448,0.0830454042926082,0.2746154807130199
MGN-lite,B-k2,,0.18769914316451186,0.37848731204451835,0.1545524100361072,0.20424188277840138,,0.3909332842232751
MGN-lite,C-k0,,0.03468450357204356,0.8039020552560354,0.00033297095219519957,0.03551310176382705,,0.7974044273225583
MGN-lite,C-k1,,0.051154609198936996,0.5732921222732462,0.009357800739106859,0.054195219670942985,,0.7105143857258436
MGN-lite,C-k2,0.16530132756259397,0.16530132756259397,0.44109531358211784,0.1301207262443178,0.17757086550100698,0.1750350803834022,0.18368629590965913
MGN-lite,D-k0,,0.047469272371637894,0.7922092587143024,0.008003161707665352,0.05174527189782119,,0.7947217075338042
MGN-lite,D-k1,0.08273030256215319,0.08470414052871245,0.3268936927798659,0.034799560818782216,0.09120455699211794,0.08160067147809635,0.30670520089106756
MGN-lite,D-k2,0.04168868493445488,0.03748627836695273,0.4846367573606375,0.025983607580045365,0.04439032510891927,0.26740368047172836,0.29402822304482856
