model,task,beta_k,beta_total,initial_rayleigh_quotient,log_lambda1_positive,log_nk,rho_H,target_norm_retention
GAOT,A-k0,,,0.403532726965909,-0.006279770850828603,0.0038397760602969207,,-0.4022804022579696
GAOT,A-k1,,,0.9569407026308463,-0.06996370696228883,-0.03603908269034456,-0.8059667820441782,-0.8736143765634389
GAOT,A-k2,,,0.9053305743478808,0.039878300377340366,0.15613972824002703,-0.8892286778156463,-0.9092758600686954
GAOT,B-k0,,-0.19887818761631756,0.3866532555286155,0.15171095467583418,-0.20410489134952642,,-0.3966659938148414
GAOT,B-k1,-0.010052847698715214,-0.010052847698715214,0.770812721096873,0.03788740269791101,0.013479868390683694,-0.47535691852521006,-0.609398114957319
GAOT,B-k2,,0.7260919700695528,0.8854999168594646,-0.5062516624850799,0.7275368067845394,,-0.167751878639224
GAOT,C-k0,,-0.03258217622450882,0.3947984494291784,0.022958913363476528,-0.0405457568008866,,-0.39638840903579586
GAOT,C-k1,,0.16119016367878597,0.14364335493881053,-0.09277971659305571,0.15126376083949458,,0.3995640359625141
GAOT,C-k2,0.5354759881979297,0.5354759881979297,0.14271308211448522,-0.47358488177004726,0.5468337378641095,0.32708453462407594,0.18825878642921345
GAOT,D-k0,,-0.17082464268272649,0.4015221168055144,0.1614109478804483,-0.1755048319000812,,-0.4119923230438762
GAOT,D-k1,-0.12751246385050016,-0.12268451486429752,0.8396519301665147,0.08122063846714483,-0.1181227292398447,-0.5600446175829279,-0.6761156024934841
GAOT,D-k2,0.4922184795191061,0.48492292490416294,-0.14052537520522468,-0.3575425915549873,0.4261367524040821,0.601588782174302,0.4419122107078949
GNOT,A-k0,,,0.8823456317756375,0.01254327602265,0.00832160469776562,,-0.8710533109583246
GNOT,A-k1,,,0.8180681369406786,-0.09728149878664392,0.0013243782226461547,-0.7210612874635322,-0.7470975457412288
GNOT,A-k2,,,0.8137729145597323,-0.009098549741317486,0.19285945062656001,-0.7145691978614656,-0.7089014956646469
GNOT,B-k0,,0.6921780595475948,0.565769049128535,-0.4128911541992314,0.6750667409312711,,-0.5440743736618647
GNOT,B-k1,0.6919866301951418,0.6919866301951418,0.15712723227626263,-0.4135457911452296,0.6923901882048441,0.002152748308984165,-0.09938990698824493
GNOT,B-k2,,0.6503060821343776,0.8583992649997129,-0.44644159512422205,0.6590279795237625,,-0.258428916378483
GNOT,C-k0,,0.41345782531498876,0.7511084301204807,-0.18858138476386976,0.4013225385606229,,-0.7419784949134746
GNOT,C-k1,,0.6463685109964138,0.42753418946648025,-0.42553572045116933,0.6233723670751237,,-0.2561690863941744
GNOT,C-k2,0.6105773469177415,0.6105773469177415,0.49092430211886806,-0.5065355199948792,0.6065052133110395,-0.0606204073444945,-0.10384512552543967
GNOT,D-k0,,0.4332906084308878,0.7524342079821126,-0.25982502890027526,0.4057724432389327,,-0.7328357540374041
GNOT,D-k1,0.5496709510930623,0.521562768815568,0.22603035684779565,-0.3680542566420224,0.5065561187380835,0.017521115132251238,-0.13790844840173766
GNOT,D-k2,0.42314658658975,0.4537416829777141,0.6784026400010312,-0.3573826115782891,0.42017689518928925,-0.28474138461189674,-0.3305617004147267
MGN-lite,A-k0,,,0.9222895253084085,0.09179546494627364,-0.03915027711487772,,-0.9186261869633543
MGN-lite,A-k1,,,0.8316118824655792,-0.09259299884433884,0.03355239740355724,-0.6536616816171709,-0.8121939676538935
MGN-lite,A-k2,,,0.7910214740318259,-0.0795284945285458,0.24792266596493137,-0.7332817626149241,-0.7252751592871717
MGN-lite,B-k0,,0.4805198268573575,0.7630037775405382,-0.24381416874232423,0.4353823505787795,,-0.7479923312470044
MGN-lite,B-k1,0.4031738947324625,0.4031738947324625,0.5100952734747163,-0.2262010302465421,0.38966518878558576,-0.23287018220676958,-0.47998204393829846
MGN-lite,B-k2,,0.45802808712449894,0.6843574811943287,-0.34369864274541156,0.4534305274772013,,-0.5331538889273004
MGN-lite,C-k0,,0.24172457497251004,0.8733486194721171,-0.061455196209984506,0.23316498199848548,,-0.8681272961434752
MGN-lite,C-k1,,0.25071041413086415,0.772663180727805,-0.13415263952870932,0.24283171042666585,,-0.8408927259346587
MGN-lite,C-k2,0.4793655426536266,0.4793655426536266,0.6825574365458738,-0.4685247159593607,0.4788524153434215,-0.34940076165101924,-0.3992046686346362
MGN-lite,D-k0,,0.32374833342524395,0.839887828081183,-0.15966022641130245,0.30473827435512457,,-0.8270684217064147
MGN-lite,D-k1,0.326353498280776,0.3337260132419001,0.5257392102496916,-0.2191751558681246,0.3096116860278222,-0.20431933496478114,-0.48673859442913847
MGN-lite,D-k2,0.18084296260953164,0.18840106147572283,0.7753637061967603,-0.13729965237472813,0.16564343913029828,-0.545348238329248,-0.6086007748440527
RIGNO,A-k0,,,0.9165256529397082,0.059126352568221255,-0.03166966203270137,,-0.9084532269348544
RIGNO,A-k1,,,0.8738372270848545,-0.0905289568348155,0.007127774695688548,-0.7422743475782637,-0.8221123406688832
RIGNO,A-k2,,,0.7985665970963269,-0.01037844070971096,0.19926882271779303,-0.7179362734157066,-0.7114999771484285
RIGNO,B-k0,,0.3134424702439218,0.8331216975084758,-0.17290722158136768,0.2800615731914219,,-0.8138067641823298
RIGNO,B-k1,0.10059614681391663,0.10059614681391663,0.7393944421462665,-0.02783805262938885,0.09142537966658976,-0.49679284005824814,-0.6734614740083884
RIGNO,B-k2,,0.5428488817832609,0.8274187685229566,-0.3590728673790682,0.5495220600711801,,-0.30727660245179783
RIGNO,C-k0,,0.08988834642234556,0.8945434695482304,-0.014796441625456106,0.08923933861273735,,-0.8858711077621515
RIGNO,C-k1,,0.18739756627495688,0.6397094159021156,-0.09611685672570132,0.1892157677462129,,-0.529208072932841
RIGNO,C-k2,0.514309731139398,0.514309731139398,0.5276064824634698,-0.4612286304958984,0.510699498163279,-0.1283109676546175,-0.1811331010285551
RIGNO,D-k0,,0.17519108637555278,0.868485122455126,-0.09339559694451317,0.1655716710638213,,-0.8543919372624756
RIGNO,D-k1,0.13205446721896702,0.14576770401765357,0.7184181409836489,-0.08211849269614037,0.12824588218591315,-0.4582933647292953,-0.6594416657975257
RIGNO,D-k2,0.4767029085566359,0.5114445598923215,0.3948467597057656,-0.40038746527269786,0.48284887873043614,-0.00464129130278362,-0.09818684792454997
TNO,A-k0,,,0.9479655333849741,0.022420176004586855,-0.015709551249925978,,-0.9367811130004349
TNO,A-k1,,,0.9097852157364125,0.1541490196360783,-0.02713723201246985,-0.8549648715825171,-0.9385379740382711
TNO,A-k2,,,0.9070081169953582,0.025493018238646525,0.0338291618490908,-0.9479249621988345,-0.9172892880036282
TNO,B-k0,,0.47941156727842554,0.7823575175224678,-0.3007649170142497,0.4461439128735624,,-0.7612880464015808
TNO,B-k1,-0.2280331236195255,-0.2280331236195255,0.9294055720334267,0.24189815437113363,-0.20809561202247154,-0.8048791623195108,-0.9450261826274151
TNO,B-k2,,0.6158891783712134,0.8062139135601226,-0.436557437108863,0.614664797767972,,-0.35972467957995297
TNO,C-k0,,0.319576942140895,0.8538312768872176,-0.16585733123545832,0.30622495471336036,,-0.8445821062820729
TNO,C-k1,,0.2814557096070943,0.7029050734004194,-0.14943891909381815,0.26478269426268325,,-0.8735823939774977
TNO,C-k2,-0.27904779898232396,-0.27904779898232396,0.8773835302279416,0.2552960179385704,-0.24829433350624028,-0.9551554826265015,-0.9566173609833443
TNO,D-k0,,0.3239174641309819,0.8452382247024317,-0.2115815315432597,0.305581628901948,,-0.8270966023814854
TNO,D-k1,-0.26654767126907947,-0.20272741751578313,0.922804643673689,0.24760349730726897,-0.2315324372299544,-0.8255378402338386,-0.9509827962823424
TNO,D-k2,-0.18518885153968193,-0.1145504615741959,0.8529652023301573,0.03757642716427463,-0.05484617991873319,-0.940433027036741,-0.9240030269543076
Transolver,A-k0,,,0.8898312557934595,-0.07053174590649026,0.029383002332124795,,-0.870046022478915
Transolver,A-k1,,,0.8278310782543274,-0.05731190904369395,-0.013335868659646696,-0.7249984178653821,-0.7518337302084883
Transolver,A-k2,,,0.7544481219190283,-0.015834281102051765,0.20287459381556852,-0.6464597471210218,-0.6373462211098614
Transolver,B-k0,,0.40209759792630223,0.7853063692603005,-0.26097782052031404,0.3790797256555408,,-0.7597179442257596
Transolver,B-k1,0.2649449042795626,0.2649449042795626,0.5220126287158706,-0.14382932320474115,0.2769115551567079,-0.27767338528688235,-0.40281853332755213
Transolver,B-k2,,0.6435406643451819,0.86988610542426,-0.41850942485111803,0.6507433066452998,,-0.21333603060001197
Transolver,C-k0,,0.12207081747838595,0.9057448850565958,-0.04249597625242889,0.12388917125933907,,-0.893354065763307
Transolver,C-k1,,0.08858688949878839,0.42391465582603743,-0.062433289829125646,0.09839863019592551,,-0.08350481582219368
Transolver,C-k2,0.5827640580887211,0.5827640580887211,0.5001127549268575,-0.5112552524471738,0.5921590318250317,-0.07308867724396333,-0.11282071594559218
Transolver,D-k0,,0.22219621021735866,0.816145443806814,-0.1793215567758134,0.2189748199410814,,-0.7940512408403285
Transolver,D-k1,0.21614115995651212,0.18676442839471719,0.39081804231173534,-0.1591681429420447,0.19689656907483588,-0.19253227412303778,-0.3021574959599594
Transolver,D-k2,0.33472084957746445,0.36616231548536415,0.6901446065017994,-0.2946211829187806,0.3398097565243295,-0.32266209022721726,-0.3590989918355437
