model,task,beta_k,beta_total,initial_rayleigh_quotient,log_lambda1_positive,log_nk,rho_H,target_norm_retention
GAOT,A-k0,,,0.5484183709680941,-0.012635295004051448,0.007609360136837712,,-0.5563276509410624
GAOT,A-k1,,,0.8988821450213786,-0.06594765024987634,-0.02007594804382038,-0.6981114942377101,-0.8460338040744264
GAOT,A-k2,,,0.7047136654705122,0.04707073372680674,0.10267260866904655,-0.6213626946602937,-0.722864264946195
GAOT,B-k0,,-0.149950361592299,0.5103894337962821,0.09095256258103136,-0.16878643947523547,,-0.5261773095291247
GAOT,B-k1,-0.000740966500386916,-0.000740966500386916,0.7646912160714812,0.03651223440509534,0.02783072596003527,-0.47068982804963844,-0.6265064621493844
GAOT,B-k2,,0.7544675922610852,0.8339595339862533,-0.6491218727068818,0.7739947450591232,,-0.2274971522480701
GAOT,C-k0,,-0.05618925549047817,0.5318504770460682,0.03827650812830021,-0.058471346684292685,,-0.5434956061793625
GAOT,C-k1,,0.12556066567762234,0.20644234859337013,-0.048635174444648904,0.16006176554488888,,0.428636887485818
GAOT,C-k2,0.624182724537378,0.624182724537378,0.10096773272613904,-0.5001804307424959,0.680527488513425,0.3008808040515634,0.30768314234224703
GAOT,D-k0,,-0.11919348175948535,0.526506017016561,0.13009951179741144,-0.13926572698454065,,-0.5374413204210836
GAOT,D-k1,-0.11325056167348134,-0.08498054274787877,0.8037591818539921,0.07294680625007481,-0.1034463807733988,-0.503789665694487,-0.6755386597123908
GAOT,D-k2,0.6155796426854439,0.5772146050406184,-0.007272336011133371,-0.4591043789003971,0.6120456744892139,0.48820785424414037,0.5115888771866618
GNOT,A-k0,,,0.8853294015926313,0.014560870679521878,0.0031688472728018746,,-0.8863086422317066
GNOT,A-k1,,,0.8062863814192238,-0.09911350701506416,0.009420840540840351,-0.7067757649711892,-0.6970142263287538
GNOT,A-k2,,,0.7232920080254801,0.0010604225843515922,0.15924233896029594,-0.62388379132903,-0.6129515011957293
GNOT,B-k0,,0.5246543957868764,0.7080580500678573,-0.3158318578458742,0.5079308070484102,,-0.7141286385377354
GNOT,B-k1,0.6350157138560175,0.6350157138560175,0.19936679569371507,-0.364210415745058,0.6127608356773311,-0.08051373525718192,-0.10833517278986685
GNOT,B-k2,,0.6530666949264828,0.8339780470278818,-0.5379365649355875,0.6619598068245666,,-0.2836167581601053
GNOT,C-k0,,0.269396584136162,0.8128212709797557,-0.08219572554983995,0.27926165090954524,,-0.8143760628721621
GNOT,C-k1,,0.6814018112574469,0.46324773748103687,-0.4007783050151487,0.7075871505713336,,-0.29587503270154
GNOT,C-k2,0.5363360634382749,0.5363360634382749,0.5080499316511868,-0.44110208068402035,0.5375441918697468,-0.17658359101792787,-0.11728757384162139
GNOT,D-k0,,0.25175891934330824,0.8432337325868295,-0.14154819429146065,0.26287052335041233,,-0.8469470526984285
GNOT,D-k1,0.5243396520109377,0.4877234419143684,0.27127677452674165,-0.35051982931976106,0.49837794665673285,-0.08650061816065203,-0.16252747808454115
GNOT,D-k2,0.3977976777703091,0.4209095385458242,0.6485682027692277,-0.3621934924170205,0.4319586184670941,-0.36062140891451827,-0.3164578999284668
MGN-lite,A-k0,,,0.9281906032142201,0.06946819326439187,-0.03667663666269763,,-0.9256846594389576
MGN-lite,A-k1,,,0.8048058473790004,-0.06892504981416131,0.04131290166002266,-0.6152579479936647,-0.830086499592302
MGN-lite,A-k2,,,0.7440198781543063,-0.04915094700687758,0.23342798154863,-0.6891823320178917,-0.7046287578739077
MGN-lite,B-k0,,0.34661688546546354,0.845433787712599,-0.168481435344259,0.33732917462902334,,-0.8450375270731818
MGN-lite,B-k1,0.37091718372032684,0.37091718372032684,0.5383144712376309,-0.1875443101197517,0.37918148120987527,-0.28817599534417776,-0.5240376710819818
MGN-lite,B-k2,,0.433242591586414,0.6152132248615254,-0.39313154291653474,0.45193128103574404,,-0.6252465787377587
MGN-lite,C-k0,,0.186237760865093,0.8966058527893053,-0.01824749166846113,0.188449202078196,,-0.8929750429449621
MGN-lite,C-k1,,0.22617384729215947,0.7571605657145919,-0.09673572628138737,0.23279866767372018,,-0.842920153825876
MGN-lite,C-k2,0.4065726596348973,0.4065726596348973,0.664150068570439,-0.36072250587228954,0.4213915821428302,-0.41837194024384766,-0.4285863925857397
MGN-lite,D-k0,,0.21787444175863743,0.8900613791836498,-0.08946039183720027,0.22747587102341993,,-0.8914716526809935
MGN-lite,D-k1,0.2876287582321245,0.2910397576426846,0.5717461786316266,-0.18654640392884217,0.30200092217119245,-0.28565831246105305,-0.5538097154177208
MGN-lite,D-k2,0.20417807162977863,0.19361373496462683,0.696158571993939,-0.16119431621508654,0.21069011630575607,-0.5171108976532286,-0.542243693411761
RIGNO,A-k0,,,0.9100075340152489,0.04171602884144823,-0.03361035505223382,,-0.9030995208343352
RIGNO,A-k1,,,0.8617133101677341,-0.09381964340829475,0.01567225771666959,-0.7201494038807265,-0.8040951805526699
RIGNO,A-k2,,,0.7500351220152368,-0.00604268721604642,0.19949110777318796,-0.6775504266520184,-0.6681967190233076
RIGNO,B-k0,,0.17522169992565137,0.8984058667801276,-0.12183869777395012,0.16400049759851792,,-0.890498548785056
RIGNO,B-k1,0.07745736467826891,0.07745736467826891,0.7498855878457343,-0.022112564015060097,0.06171946704248193,-0.5097056383700115,-0.6650262295905824
RIGNO,B-k2,,0.538634407507982,0.8079138574514687,-0.44733634989938187,0.5498543196887253,,-0.34052178164690833
RIGNO,C-k0,,0.04432891145423607,0.9096009147835686,0.011869496730031293,0.04583778500980342,,-0.9046278053854656
RIGNO,C-k1,,0.18080301113507224,0.6849926861727904,-0.06787010270575412,0.19050231168093962,,-0.5312242297311359
RIGNO,C-k2,0.48729274973901243,0.48729274973901243,0.5232420656260607,-0.42276160698148124,0.5094001239566477,-0.2012025219681654,-0.1854924778237453
RIGNO,D-k0,,0.088192572541556,0.9066362913646816,-0.043342992797332336,0.09508398667434238,,-0.9015732588905094
RIGNO,D-k1,0.10379367027078679,0.13435988860273518,0.7332131162595644,-0.0661539287523509,0.08910415799210478,-0.4868232271726675,-0.6736942177909656
