protocol,degree,task,scope,pair,n,spearman_rho,p_value
A,0,A-k0,all,R_q,1600,-0.9968144147712559,0.0
A,0,A-k0,all,R_J,1600,0.8069915496060741,0.0
A,0,A-k0,all,q_J,1600,-0.7880491554879514,0.0
A,0,A-k0,iid,R_q,800,-0.9969254873835742,0.0
A,0,A-k0,iid,R_J,800,0.8143305770790267,9.885363428884154e-191
A,0,A-k0,iid,q_J,800,-0.7976438478810124,2.06961600226808e-177
A,0,A-k0,ood,R_q,800,-0.9966465338227092,0.0
A,0,A-k0,ood,R_J,800,0.7995096164212758,7.753766294079502e-179
A,0,A-k0,ood,q_J,800,-0.7785088101700159,1.3451330052341371e-163
A,1,A-k1,all,R_q,1600,-0.9471534178333664,0.0
A,1,A-k1,all,R_J,1600,0.5318850026894542,1.516971987477206e-117
A,1,A-k1,all,q_J,1600,-0.2931312307153245,4.511437942408545e-33
A,1,A-k1,iid,R_q,800,-0.9448129918952999,0.0
A,1,A-k1,iid,R_J,800,0.5346514369553703,2.414620371191626e-60
A,1,A-k1,iid,q_J,800,-0.2831790205922197,3.222612723064946e-16
A,1,A-k1,ood,R_q,800,-0.9515939399905313,0.0
A,1,A-k1,ood,R_J,800,0.5270011203142506,2.2319174842797616e-58
A,1,A-k1,ood,q_J,800,-0.3091374517772684,3.548450099682345e-19
A,2,A-k2,all,R_q,1600,-0.9092444508767387,0.0
A,2,A-k2,all,R_J,1600,0.17613240083296908,1.2904496935268057e-12
A,2,A-k2,all,q_J,1600,0.1356640490875192,5.1076055349994035e-08
A,2,A-k2,iid,R_q,800,-0.9193329677077621,0.0
A,2,A-k2,iid,R_J,800,0.13135935368649015,0.00019473561699067751
A,2,A-k2,iid,q_J,800,0.16289141858034156,3.638601079995311e-06
A,2,A-k2,ood,R_q,800,-0.9125660586969669,3.852412876867e-312
A,2,A-k2,ood,R_J,800,0.19728000356250558,1.83814834029541e-08
A,2,A-k2,ood,q_J,800,0.10141154908054545,0.004088235376476823
B,0,B-k0,all,R_q,1600,-0.9953604483829877,0.0
B,0,B-k0,all,R_J,1600,0.7975235341888807,0.0
B,0,B-k0,all,q_J,1600,-0.7700013652349083,3.654220712e-314
B,0,B-k0,iid,R_q,800,-0.9954332897395154,0.0
B,0,B-k0,iid,R_J,800,0.8243801474689805,2.0151568749699914e-199
B,0,B-k0,iid,q_J,800,-0.801146306478604,4.224421044862785e-180
B,0,B-k0,ood,R_q,800,-0.9962351347423981,0.0
B,0,B-k0,ood,R_J,800,0.7725653790084047,1.3822218943578177e-159
B,0,B-k0,ood,q_J,800,-0.7463421505346102,3.03468306630686e-143
B,1,B-k1,all,R_q,1600,-0.9292929489425581,0.0
B,1,B-k1,all,R_J,1600,0.5185691635035795,7.858839794972448e-111
B,1,B-k1,all,q_J,1600,-0.22534711829965562,7.210269052775703e-20
B,1,B-k1,iid,R_q,800,-0.9183045051632893,2e-323
B,1,B-k1,iid,R_J,800,0.42748585544664913,7.0524777199781944e-37
B,1,B-k1,iid,q_J,800,-0.10170344016162527,0.003982059875326317
B,1,B-k1,ood,R_q,800,-0.9315524321131752,0.0
B,1,B-k1,ood,R_J,800,0.590005507821106,3.4309909752674466e-76
B,1,B-k1,ood,q_J,800,-0.31197845621633785,1.6134247879100118e-19
B,2,B-k2,all,R_q,1600,-0.251315989771871,1.80593773039822e-24
B,2,B-k2,all,R_J,1600,0.9030987756245218,0.0
B,2,B-k2,all,q_J,1600,0.1279713781138196,2.806706462383477e-07
B,2,B-k2,iid,R_q,800,-0.5803430552235238,3.332147352281289e-73
B,2,B-k2,iid,R_J,800,0.8256546572729021,1.4538313453545154e-200
B,2,B-k2,iid,q_J,800,-0.11216267525418008,0.001485452424358966
B,2,B-k2,ood,R_q,800,-0.2713286270759798,5.751076184998414e-15
B,2,B-k2,ood,R_J,800,0.8745595149367421,4.702108981181549e-253
B,2,B-k2,ood,q_J,800,0.17154692429206922,1.0570045152374347e-06
C,0,C-k0,all,R_q,1600,-0.9987891948395293,0.0
C,0,C-k0,all,R_J,1600,0.8570444070485965,0.0
C,0,C-k0,all,q_J,1600,-0.8494829597589688,0.0
C,0,C-k0,iid,R_q,800,-0.9988467325730197,0.0
C,0,C-k0,iid,R_J,800,0.8397395620930659,7.760999731568334e-214
C,0,C-k0,iid,q_J,800,-0.832338386466229,1.0436417308558972e-206
C,0,C-k0,ood,R_q,800,-0.9987253495708588,0.0
C,0,C-k0,ood,R_J,800,0.8732398878748249,2.3138154471502805e-251
C,0,C-k0,ood,q_J,800,-0.8659822671597925,2.2026958742685563e-242
C,1,C-k1,all,R_q,1600,-0.7348372206395395,9.725801726673752e-272
C,1,C-k1,all,R_J,1600,0.20778354405607188,4.5940220737548564e-17
C,1,C-k1,all,q_J,1600,0.43670167449284164,1.7167063634523284e-75
C,1,C-k1,iid,R_q,800,-0.7231047001635941,2.3087693181650907e-130
C,1,C-k1,iid,R_J,800,0.22770274641054128,7.214845606140837e-11
C,1,C-k1,iid,q_J,800,0.4297123511130487,2.7603940617540026e-37
C,1,C-k1,ood,R_q,800,-0.7526643322880193,5.382704551975325e-147
C,1,C-k1,ood,R_J,800,0.16845895852962273,1.654794195147324e-06
C,1,C-k1,ood,q_J,800,0.45308388763107443,9.481953010030808e-42
C,2,C-k2,all,R_q,1600,-0.8437589370152099,0.0
C,2,C-k2,all,R_J,1600,0.00895499470898231,0.7203979291557556
C,2,C-k2,all,q_J,1600,0.44990722847938613,1.4623257059019293e-80
C,2,C-k2,iid,R_q,800,-0.8536181931534269,3.0816573734027173e-228
C,2,C-k2,iid,R_J,800,-0.17419360811501272,7.152292762547452e-07
C,2,C-k2,iid,q_J,800,0.5870402844379444,2.9031413132308993e-75
