model,protocol,degree,task,variable,standardized_slope,r2,spearman_rho,p_cluster
GAOT,A,0,A-k0,target_norm_retention,-0.5563276509410624,0.30950045520160274,-0.4022804022579696,3.1938861823193414e-60
GAOT,B,0,B-k0,target_norm_retention,-0.5261773095291247,0.27686256106332463,-0.3966659938148414,1.3088874124883652e-56
GAOT,C,0,C-k0,target_norm_retention,-0.5434956061793625,0.2953874739362754,-0.39638840903579586,3.4516829035677665e-53
GAOT,D,0,D-k0,target_norm_retention,-0.5374413204210836,0.28884317289596706,-0.4119923230438762,5.988300382920495e-59
GAOT,A,1,A-k1,initial_rayleigh_quotient,0.8988821450213786,0.8079891106382326,0.9569407026308463,1.8611619336705482e-184
GAOT,B,1,B-k1,initial_rayleigh_quotient,0.7646912160714812,0.5847526559368827,0.770812721096873,4.479939344262071e-117
GAOT,C,1,C-k1,target_norm_retention,0.428636887485818,0.1837295813135209,0.3995640359625141,2.6183846284106094e-35
GAOT,D,1,D-k1,initial_rayleigh_quotient,0.8037591818539921,0.6460288224145947,0.8396519301665147,1.354579339322512e-132
GAOT,A,2,A-k2,target_norm_retention,-0.722864264946195,0.522532745536202,-0.9092758600686954,8.455674199963683e-112
GAOT,B,2,B-k2,initial_rayleigh_quotient,0.8339595339862533,0.6954885043265707,0.8854999168594646,1.734984996801294e-123
GAOT,C,2,C-k2,log_nk,0.680527488513425,0.46311766262283416,0.5468337378641095,4.4959758638769646e-100
GAOT,D,2,D-k2,beta_k,0.6155796426854439,0.378938296488738,0.4922184795191061,6.9353648814682e-47
GNOT,A,0,A-k0,target_norm_retention,-0.8863086422317066,0.7855430092946039,-0.8710533109583246,9.338355689092387e-134
GNOT,B,0,B-k0,target_norm_retention,-0.7141286385377354,0.5099797123797618,-0.5440743736618647,9.099022292098991e-85
GNOT,C,0,C-k0,target_norm_retention,-0.8143760628721621,0.6632083717791648,-0.7419784949134746,3.360138018019534e-93
GNOT,D,0,D-k0,target_norm_retention,-0.8469470526984285,0.7173193100745734,-0.7328357540374041,6.251433754103994e-116
GNOT,A,1,A-k1,initial_rayleigh_quotient,0.8062863814192238,0.6500977288621042,0.8180681369406786,5.1770484085793026e-161
GNOT,B,1,B-k1,beta_k,0.6350157138560175,0.40324495684406714,0.6919866301951418,5.441256233784553e-118
GNOT,C,1,C-k1,log_nk,0.7075871505713336,0.5006795756564211,0.6233723670751237,1.522439782561362e-147
GNOT,D,1,D-k1,beta_k,0.5243396520109377,0.2749320706709507,0.5496709510930623,1.761348047386045e-111
GNOT,A,2,A-k2,initial_rayleigh_quotient,0.7232920080254801,0.5231513288735337,0.8137729145597323,7.87232499513229e-107
GNOT,B,2,B-k2,initial_rayleigh_quotient,0.8339780470278818,0.6955193829244409,0.8583992649997129,3.404098038877751e-159
GNOT,C,2,C-k2,log_nk,0.5375441918697468,0.2889537582131749,0.6065052133110395,1.58896159178155e-117
GNOT,D,2,D-k2,initial_rayleigh_quotient,0.6485682027692277,0.4206407136433038,0.6784026400010312,7.492426887552431e-102
MGN-lite,A,0,A-k0,initial_rayleigh_quotient,0.9281906032142201,0.8615377958951754,0.9222895253084085,4.342329781690963e-187
MGN-lite,B,0,B-k0,initial_rayleigh_quotient,0.845433787712599,0.7147582894060704,0.7630037775405382,8.919693159458837e-131
MGN-lite,C,0,C-k0,initial_rayleigh_quotient,0.8966058527893053,0.8039020552560354,0.8733486194721171,3.989239094553622e-144
MGN-lite,D,0,D-k0,target_norm_retention,-0.8914716526809935,0.7947217075338042,-0.8270684217064147,5.23929658312273e-147
MGN-lite,A,1,A-k1,target_norm_retention,-0.830086499592302,0.6890435968053921,-0.8121939676538935,5.410440506349848e-172
MGN-lite,B,1,B-k1,initial_rayleigh_quotient,0.5383144712376309,0.28978246994385015,0.5100952734747163,3.4468161440015093e-68
MGN-lite,C,1,C-k1,target_norm_retention,-0.842920153825876,0.7105143857258436,-0.8408927259346587,6.523016703411517e-167
MGN-lite,D,1,D-k1,initial_rayleigh_quotient,0.5717461786316266,0.3268936927798659,0.5257392102496916,2.556157095952162e-75
MGN-lite,A,2,A-k2,initial_rayleigh_quotient,0.7440198781543063,0.55356557908875,0.7910214740318259,3.7065633199946104e-123
MGN-lite,B,2,B-k2,target_norm_retention,-0.6252465787377587,0.3909332842232751,-0.5331538889273004,2.355760714730955e-83
MGN-lite,C,2,C-k2,initial_rayleigh_quotient,0.664150068570439,0.44109531358211784,0.6825574365458738,1.1586225563537334e-105
MGN-lite,D,2,D-k2,initial_rayleigh_quotient,0.696158571993939,0.4846367573606375,0.7753637061967603,1.7259202672406573e-104
RIGNO,A,0,A-k0,initial_rayleigh_quotient,0.9100075340152489,0.8281137119645129,0.9165256529397082,5.6632803358280555e-170
RIGNO,B,0,B-k0,initial_rayleigh_quotient,0.8984058667801276,0.80713310146495,0.8331216975084758,5.089552042195428e-171
RIGNO,C,0,C-k0,initial_rayleigh_quotient,0.9096009147835686,0.8273738241751041,0.8945434695482304,4.33994635210817e-165
RIGNO,D,0,D-k0,initial_rayleigh_quotient,0.9066362913646816,0.8219893648195059,0.868485122455126,6.342375403000691e-163
RIGNO,A,1,A-k1,initial_rayleigh_quotient,0.8617133101677341,0.742549828920233,0.8738372270848545,5.580234851689853e-211
RIGNO,B,1,B-k1,initial_rayleigh_quotient,0.7498855878457343,0.5623283948587396,0.7393944421462665,7.245612378808727e-143
RIGNO,C,1,C-k1,initial_rayleigh_quotient,0.6849926861727904,0.4692149801102147,0.6397094159021156,2.4220571949947396e-84
