model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,A,0,A-k0,log_nk,all,1600,400,221,7.731492029245684,7.903226808730733,7.836536796010969,0.029959236007328197,0.31971695668995337,0.314737126231193,0.024252273817982395,ok,0.27144509540915057,0.006159846184765446,0.022792252570474604,-0.038648065279051805,0.05096775764858269,0.787099564576132,0.007609360136837712,5.790236169389562e-05,0.007609360136951352,0.7610205249729393,0.0038397760602969207,0.8780264069774302
GAOT,A,0,A-k0,log_nk,iid,800,200,144,7.731492029245684,7.8868329989550565,7.823175250569664,0.030283035489778357,0.31894027054309804,0.31413663923740354,0.023449515177784284,ok,0.5682975053847494,-0.031874172168427264,0.03014153810003717,-0.09131197547853803,0.027563631141683503,0.29157308554418926,-0.04116275665683052,0.0016943725356722839,-0.04116275665783985,0.2448574921337929,-0.043249754667947615,0.22172773565003676
GAOT,A,0,A-k0,log_nk,ood,800,200,134,7.767687277186908,7.903226808730733,7.849898341452274,0.02283996663231808,0.32049364283680876,0.31496481597423553,0.025019871143376653,ok,0.02685533075455665,0.03740663882695885,0.039569958666178046,-0.04062360012048901,0.1154368777744067,0.34563720288400246,0.03414751330008687,0.0011660526645054237,0.03414751329899971,0.3347408689469799,0.01886339154870815,0.5942063498049541
GAOT,A,0,A-k0,beta_k,all,1600,400,1,1.0,1.0,1.0,0.0,0.31971695668995337,0.314737126231193,0.024252273817982395,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,beta_k,iid,800,200,1,1.0,1.0,1.0,0.0,0.31894027054309804,0.31413663923740354,0.023449515177784284,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,beta_k,ood,800,200,1,1.0,1.0,1.0,0.0,0.32049364283680876,0.31496481597423553,0.025019871143376653,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,beta_total,all,1600,400,1,2.0,2.0,2.0,0.0,0.31971695668995337,0.314737126231193,0.024252273817982395,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,beta_total,iid,800,200,1,2.0,2.0,2.0,0.0,0.31894027054309804,0.31413663923740354,0.023449515177784284,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,beta_total,ood,800,200,1,2.0,2.0,2.0,0.0,0.32049364283680876,0.31496481597423553,0.025019871143376653,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,rho_H,all,1600,400,1,0.0,0.0,0.0,0.0,0.31971695668995337,0.314737126231193,0.024252273817982395,constant_predictor,,,,,,,,,,,,
