model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,A,0,A-k0,log_nk,all,1600,400,221,7.731492029245684,7.903226808730733,7.836536796010969,0.029959236007328197,0.31971695668995337,0.314737126231193,0.024252273817982395,ok,0.27144509540915057,0.006159846184765446,0.022792252570474604,-0.038648065279051805,0.05096775764858269,0.787099564576132,0.007609360136837712,5.790236169389562e-05,0.007609360136951352,0.7610205249729393,0.0038397760602969207,0.8780264069774302
GAOT,A,0,A-k0,beta_k,all,1600,400,1,1.0,1.0,1.0,0.0,0.31971695668995337,0.314737126231193,0.024252273817982395,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,beta_total,all,1600,400,1,2.0,2.0,2.0,0.0,0.31971695668995337,0.314737126231193,0.024252273817982395,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,rho_H,all,1600,400,1,0.0,0.0,0.0,0.0,0.31971695668995337,0.314737126231193,0.024252273817982395,constant_predictor,,,,,,,,,,,,
GAOT,A,0,A-k0,log_lambda1_positive,all,1600,400,400,0.5911348066758972,0.7538510155881601,0.684904804429579,0.034406063767318584,0.31971695668995337,0.314737126231193,0.024252273817982395,ok,0.32581700215383197,-0.008906413598533027,0.01923803200978298,-0.046726985846363644,0.028914158649297587,0.6436463920140634,-0.012635295004051448,0.00015965067983936265,-0.012635295004048842,0.6135328736496409,-0.006279770850828603,0.8018164322269346
GAOT,A,0,A-k0,initial_rayleigh_quotient,all,1600,400,1600,1.9058051657219186,9.483124457550876,3.8709239840100538,1.9549361874885733,0.31971695668995337,0.314737126231193,0.024252273817982395,ok,0.2933811567530161,0.006803491891270649,0.00036763078734452695,0.006080756491609185,0.007526227290932113,1.192540959875021e-55,0.5484183709680941,0.30076270961529494,0.5484183709680914,2.6024556716497936e-126,0.403532726965909,1.0407399466602714e-63
GAOT,A,0,A-k0,target_norm_retention,all,1600,400,1600,0.4143438152804424,0.8281922245454145,0.719969085278326,0.11255047190149724,0.31971695668995337,0.314737126231193,0.024252273817982395,ok,0.4060246753926141,-0.11987697870290398,0.006129022533904646,-0.13192619139962083,-0.10782776600618711,3.1938861823193414e-60,-0.5563276509410624,0.30950045520160274,-0.5563276509410644,1.110972985016184e-130,-0.4022804022579696,2.733479779744749e-63
GAOT,A,1,A-k1,log_nk,all,1600,400,360,9.477998292597036,9.666498594399865,9.597116032256835,0.03324862117039561,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.9441672964229986,-0.04260886219967272,0.03698104691340565,-0.11531091175846488,0.030093187359119436,0.24993653714265016,-0.02007594804382038,0.0004030436898972978,-0.020075948044794505,0.42226887893576953,-0.03603908269034456,0.14961159385413708
GAOT,A,1,A-k1,beta_k,all,1600,400,1,1.0,1.0,1.0,0.0,0.5352451018989082,0.5136508643627165,0.07056632716354239,constant_predictor,,,,,,,,,,,,
GAOT,A,1,A-k1,beta_total,all,1600,400,1,2.0,2.0,2.0,0.0,0.5352451018989082,0.5136508643627165,0.07056632716354239,constant_predictor,,,,,,,,,,,,
