protocol,degree,task,variable,scope,n_unique_x_min,n_unique_x_max,estimable_models
A,0,A-k0,beta_k,all,1,1,0
A,0,A-k0,beta_k,iid,1,1,0
A,0,A-k0,beta_k,ood,1,1,0
A,0,A-k0,beta_total,all,1,1,0
A,0,A-k0,beta_total,iid,1,1,0
A,0,A-k0,beta_total,ood,1,1,0
A,0,A-k0,initial_rayleigh_quotient,all,1600,1600,6
A,0,A-k0,initial_rayleigh_quotient,iid,800,800,6
A,0,A-k0,initial_rayleigh_quotient,ood,800,800,6
A,0,A-k0,log_lambda1_positive,all,400,400,6
A,0,A-k0,log_lambda1_positive,iid,200,200,6
A,0,A-k0,log_lambda1_positive,ood,200,200,6
A,0,A-k0,log_nk,all,221,221,6
A,0,A-k0,log_nk,iid,144,144,6
A,0,A-k0,log_nk,ood,134,134,6
A,0,A-k0,rho_H,all,1,1,0
A,0,A-k0,rho_H,iid,1,1,0
A,0,A-k0,rho_H,ood,1,1,0
A,0,A-k0,target_norm_retention,all,1600,1600,6
A,0,A-k0,target_norm_retention,iid,800,800,6
A,0,A-k0,target_norm_retention,ood,800,800,6
A,1,A-k1,beta_k,all,1,1,0
A,1,A-k1,beta_k,iid,1,1,0
A,1,A-k1,beta_k,ood,1,1,0
A,1,A-k1,beta_total,all,1,1,0
A,1,A-k1,beta_total,iid,1,1,0
A,1,A-k1,beta_total,ood,1,1,0
A,1,A-k1,initial_rayleigh_quotient,all,1600,1600,6
A,1,A-k1,initial_rayleigh_quotient,iid,800,800,6
A,1,A-k1,initial_rayleigh_quotient,ood,800,800,6
A,1,A-k1,log_lambda1_positive,all,400,400,6
A,1,A-k1,log_lambda1_positive,iid,200,200,6
A,1,A-k1,log_lambda1_positive,ood,200,200,6
A,1,A-k1,log_nk,all,360,360,6
A,1,A-k1,log_nk,iid,193,193,6
A,1,A-k1,log_nk,ood,182,182,6
A,1,A-k1,rho_H,all,4,4,6
A,1,A-k1,rho_H,iid,4,4,6
A,1,A-k1,rho_H,ood,4,4,6
A,1,A-k1,target_norm_retention,all,1600,1600,6
A,1,A-k1,target_norm_retention,iid,800,800,6
A,1,A-k1,target_norm_retention,ood,800,800,6
A,2,A-k2,beta_k,all,1,1,0
A,2,A-k2,beta_k,iid,1,1,0
A,2,A-k2,beta_k,ood,1,1,0
A,2,A-k2,beta_total,all,1,1,0
A,2,A-k2,beta_total,iid,1,1,0
A,2,A-k2,beta_total,ood,1,1,0
A,2,A-k2,initial_rayleigh_quotient,all,1600,1600,6
A,2,A-k2,initial_rayleigh_quotient,iid,800,800,6
A,2,A-k2,initial_rayleigh_quotient,ood,800,800,6
A,2,A-k2,log_lambda1_positive,all,400,400,6
A,2,A-k2,log_lambda1_positive,iid,200,200,6
A,2,A-k2,log_lambda1_positive,ood,200,200,6
A,2,A-k2,log_nk,all,374,374,6
A,2,A-k2,log_nk,iid,193,193,6
A,2,A-k2,log_nk,ood,194,194,6
A,2,A-k2,rho_H,all,4,4,6
A,2,A-k2,rho_H,iid,4,4,6
A,2,A-k2,rho_H,ood,4,4,6
A,2,A-k2,target_norm_retention,all,1600,1600,6
A,2,A-k2,target_norm_retention,iid,800,800,6
A,2,A-k2,target_norm_retention,ood,800,800,6
B,0,B-k0,beta_k,all,1,1,0
B,0,B-k0,beta_k,iid,1,1,0
B,0,B-k0,beta_k,ood,1,1,0
B,0,B-k0,beta_total,all,4,4,6
B,0,B-k0,beta_total,iid,3,3,6
B,0,B-k0,beta_total,ood,1,1,0
B,0,B-k0,initial_rayleigh_quotient,all,1600,1600,6
B,0,B-k0,initial_rayleigh_quotient,iid,800,800,6
B,0,B-k0,initial_rayleigh_quotient,ood,800,800,6
B,0,B-k0,log_lambda1_positive,all,334,334,6
B,0,B-k0,log_lambda1_positive,iid,134,134,6
B,0,B-k0,log_lambda1_positive,ood,200,200,6
B,0,B-k0,log_nk,all,274,274,6
B,0,B-k0,log_nk,iid,117,117,6
B,0,B-k0,log_nk,ood,159,159,6
B,0,B-k0,rho_H,all,1,1,0
B,0,B-k0,rho_H,iid,1,1,0
B,0,B-k0,rho_H,ood,1,1,0
B,0,B-k0,target_norm_retention,all,1600,1600,6
B,0,B-k0,target_norm_retention,iid,800,800,6
B,0,B-k0,target_norm_retention,ood,800,800,6
B,1,B-k1,beta_k,all,4,4,6
B,1,B-k1,beta_k,iid,3,3,6
B,1,B-k1,beta_k,ood,1,1,0
B,1,B-k1,beta_total,all,4,4,6
B,1,B-k1,beta_total,iid,3,3,6
B,1,B-k1,beta_total,ood,1,1,0
B,1,B-k1,initial_rayleigh_quotient,all,1600,1600,6
B,1,B-k1,initial_rayleigh_quotient,iid,800,800,6
B,1,B-k1,initial_rayleigh_quotient,ood,800,800,6
B,1,B-k1,log_lambda1_positive,all,341,341,6
B,1,B-k1,log_lambda1_positive,iid,141,141,6
B,1,B-k1,log_lambda1_positive,ood,200,200,6
B,1,B-k1,log_nk,all,318,318,6
B,1,B-k1,log_nk,iid,131,131,6
B,1,B-k1,log_nk,ood,187,187,6
B,1,B-k1,rho_H,all,4,4,6
B,1,B-k1,rho_H,iid,4,4,6
B,1,B-k1,rho_H,ood,4,4,6
B,1,B-k1,target_norm_retention,all,1600,1600,6
B,1,B-k1,target_norm_retention,iid,800,800,6
B,1,B-k1,target_norm_retention,ood,800,800,6
B,2,B-k2,beta_k,all,1,1,0
B,2,B-k2,beta_k,iid,1,1,0
B,2,B-k2,beta_k,ood,1,1,0
B,2,B-k2,beta_total,all,4,4,6
B,2,B-k2,beta_total,iid,3,3,6
B,2,B-k2,beta_total,ood,1,1,0
B,2,B-k2,initial_rayleigh_quotient,all,1600,1600,6
B,2,B-k2,initial_rayleigh_quotient,iid,800,800,6
B,2,B-k2,initial_rayleigh_quotient,ood,800,800,6
B,2,B-k2,log_lambda1_positive,all,341,341,6
B,2,B-k2,log_lambda1_positive,iid,141,141,6
B,2,B-k2,log_lambda1_positive,ood,200,200,6
B,2,B-k2,log_nk,all,329,329,6
B,2,B-k2,log_nk,iid,134,134,6
B,2,B-k2,log_nk,ood,195,195,6
B,2,B-k2,rho_H,all,1,1,0
B,2,B-k2,rho_H,iid,1,1,0
B,2,B-k2,rho_H,ood,1,1,0
B,2,B-k2,target_norm_retention,all,1600,1600,6
B,2,B-k2,target_norm_retention,iid,800,800,6
B,2,B-k2,target_norm_retention,ood,800,800,6
C,0,C-k0,beta_k,all,1,1,0
C,0,C-k0,beta_k,iid,1,1,0
C,0,C-k0,beta_k,ood,1,1,0
C,0,C-k0,beta_total,all,4,4,6
C,0,C-k0,beta_total,iid,3,3,6
C,0,C-k0,beta_total,ood,1,1,0
C,0,C-k0,initial_rayleigh_quotient,all,1600,1600,6
C,0,C-k0,initial_rayleigh_quotient,iid,800,800,6
C,0,C-k0,initial_rayleigh_quotient,ood,800,800,6
C,0,C-k0,log_lambda1_positive,all,335,335,6
C,0,C-k0,log_lambda1_positive,iid,135,135,6
C,0,C-k0,log_lambda1_positive,ood,200,200,6
C,0,C-k0,log_nk,all,236,236,6
C,0,C-k0,log_nk,iid,119,119,6
C,0,C-k0,log_nk,ood,122,122,6
C,0,C-k0,rho_H,all,1,1,0
C,0,C-k0,rho_H,iid,1,1,0
C,0,C-k0,rho_H,ood,1,1,0
C,0,C-k0,target_norm_retention,all,1600,1600,6
C,0,C-k0,target_norm_retention,iid,800,800,6
C,0,C-k0,target_norm_retention,ood,800,800,6
C,1,C-k1,beta_k,all,1,1,0
C,1,C-k1,beta_k,iid,1,1,0
C,1,C-k1,beta_k,ood,1,1,0
C,1,C-k1,beta_total,all,4,4,6
C,1,C-k1,beta_total,iid,3,3,6
C,1,C-k1,beta_total,ood,1,1,0
C,1,C-k1,initial_rayleigh_quotient,all,1600,1600,6
C,1,C-k1,initial_rayleigh_quotient,iid,800,800,6
C,1,C-k1,initial_rayleigh_quotient,ood,800,800,6
C,1,C-k1,log_lambda1_positive,all,343,343,6
C,1,C-k1,log_lambda1_positive,iid,143,143,6
C,1,C-k1,log_lambda1_positive,ood,200,200,6
C,1,C-k1,log_nk,all,321,321,6
C,1,C-k1,log_nk,iid,134,134,6
C,1,C-k1,log_nk,ood,188,188,6
C,1,C-k1,rho_H,all,1,1,0
C,1,C-k1,rho_H,iid,1,1,0
C,1,C-k1,rho_H,ood,1,1,0
C,1,C-k1,target_norm_retention,all,1600,1600,6
C,1,C-k1,target_norm_retention,iid,800,800,6
C,1,C-k1,target_norm_retention,ood,800,800,6
C,2,C-k2,beta_k,all,4,4,6
C,2,C-k2,beta_k,iid,3,3,6
C,2,C-k2,beta_k,ood,1,1,0
C,2,C-k2,beta_total,all,4,4,6
C,2,C-k2,beta_total,iid,3,3,6
C,2,C-k2,beta_total,ood,1,1,0
C,2,C-k2,initial_rayleigh_quotient,all,1600,1600,6
C,2,C-k2,initial_rayleigh_quotient,iid,800,800,6
C,2,C-k2,initial_rayleigh_quotient,ood,800,800,6
C,2,C-k2,log_lambda1_positive,all,344,344,6
C,2,C-k2,log_lambda1_positive,iid,144,144,6
C,2,C-k2,log_lambda1_positive,ood,200,200,6
C,2,C-k2,log_nk,all,321,321,6
C,2,C-k2,log_nk,iid,133,133,6
C,2,C-k2,log_nk,ood,188,188,6
C,2,C-k2,rho_H,all,4,4,6
C,2,C-k2,rho_H,iid,4,4,6
C,2,C-k2,rho_H,ood,4,4,6
C,2,C-k2,target_norm_retention,all,1600,1600,6
C,2,C-k2,target_norm_retention,iid,800,800,6
C,2,C-k2,target_norm_retention,ood,800,800,6
D,0,D-k0,beta_k,all,1,1,0
D,0,D-k0,beta_k,iid,1,1,0
D,0,D-k0,beta_k,ood,1,1,0
D,0,D-k0,beta_total,all,6,6,6
D,0,D-k0,beta_total,iid,5,5,6
D,0,D-k0,beta_total,ood,1,1,0
D,0,D-k0,initial_rayleigh_quotient,all,1600,1600,6
D,0,D-k0,initial_rayleigh_quotient,iid,800,800,6
D,0,D-k0,initial_rayleigh_quotient,ood,800,800,6
D,0,D-k0,log_lambda1_positive,all,379,379,6
D,0,D-k0,log_lambda1_positive,iid,179,179,6
D,0,D-k0,log_lambda1_positive,ood,200,200,6
D,0,D-k0,log_nk,all,245,245,6
D,0,D-k0,log_nk,iid,173,173,6
D,0,D-k0,log_nk,ood,72,72,6
D,0,D-k0,rho_H,all,1,1,0
D,0,D-k0,rho_H,iid,1,1,0
D,0,D-k0,rho_H,ood,1,1,0
D,0,D-k0,target_norm_retention,all,1600,1600,6
D,0,D-k0,target_norm_retention,iid,800,800,6
D,0,D-k0,target_norm_retention,ood,800,800,6
D,1,D-k1,beta_k,all,4,4,6
D,1,D-k1,beta_k,iid,3,3,6
D,1,D-k1,beta_k,ood,1,1,0
D,1,D-k1,beta_total,all,6,6,6
D,1,D-k1,beta_total,iid,5,5,6
D,1,D-k1,beta_total,ood,1,1,0
D,1,D-k1,initial_rayleigh_quotient,all,1600,1600,6
D,1,D-k1,initial_rayleigh_quotient,iid,800,800,6
D,1,D-k1,initial_rayleigh_quotient,ood,800,800,6
D,1,D-k1,log_lambda1_positive,all,384,384,6
D,1,D-k1,log_lambda1_positive,iid,184,184,6
D,1,D-k1,log_lambda1_positive,ood,200,200,6
D,1,D-k1,log_nk,all,343,343,6
D,1,D-k1,log_nk,iid,177,177,6
D,1,D-k1,log_nk,ood,166,166,6
D,1,D-k1,rho_H,all,4,4,6
D,1,D-k1,rho_H,iid,4,4,6
D,1,D-k1,rho_H,ood,4,4,6
D,1,D-k1,target_norm_retention,all,1600,1600,6
D,1,D-k1,target_norm_retention,iid,800,800,6
D,1,D-k1,target_norm_retention,ood,800,800,6
D,2,D-k2,beta_k,all,4,4,6
D,2,D-k2,beta_k,iid,3,3,6
D,2,D-k2,beta_k,ood,1,1,0
D,2,D-k2,beta_total,all,6,6,6
D,2,D-k2,beta_total,iid,5,5,6
D,2,D-k2,beta_total,ood,1,1,0
D,2,D-k2,initial_rayleigh_quotient,all,1600,1600,6
D,2,D-k2,initial_rayleigh_quotient,iid,800,800,6
D,2,D-k2,initial_rayleigh_quotient,ood,800,800,6
D,2,D-k2,log_lambda1_positive,all,385,385,6
D,2,D-k2,log_lambda1_positive,iid,185,185,6
D,2,D-k2,log_lambda1_positive,ood,200,200,6
D,2,D-k2,log_nk,all,357,357,6
D,2,D-k2,log_nk,iid,179,179,6
D,2,D-k2,log_nk,ood,178,178,6
D,2,D-k2,rho_H,all,4,4,6
D,2,D-k2,rho_H,iid,4,4,6
D,2,D-k2,rho_H,ood,4,4,6
D,2,D-k2,target_norm_retention,all,1600,1600,6
D,2,D-k2,target_norm_retention,iid,800,800,6
D,2,D-k2,target_norm_retention,ood,800,800,6
