task,protocol,degree,beta_k_iid_median,beta_k_iid_min,beta_k_iid_max,beta_k_ood_median,beta_k_wasserstein,rho_H_wasserstein,kernel_shift_pressure,rayleigh_ood_median,jensen_gap_ood_median,spectrum_shift_pressure,shift_initial_rayleigh_quotient,shift_jensen_gap,shift_log_lambda1_positive,shift_log_nk,percentile_rayleigh_ood_median,percentile_jensen_gap_ood_median,positive_spectrum_load,kernel_pressure_level,spectrum_load_level,observed_best_model,ood_loss,recommended_architecture_class
A-k0,A,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.9668771214476757,0.034105749300506874,0.0074881319427067055,0.004154424181210005,0.00288593780981137,0.001740896642339964,0.013988205085953886,0.3333333333333333,0.3333333333333333,0.3333333333333333,low,low,MGN-lite,0.0105431278969626,local message passing (MGN-like)
A-k1,A,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.572025367459629,0.3725725996445296,0.030395141062201994,0.02923241997923807,0.051205706687648206,0.0017408966423397348,0.014692477817621615,0.4166666666666667,0.5,0.4602233757161359,low,medium,TNO,0.1085708239488303,lightweight graph or coordinate operator
A-k2,A,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.20180382129479,1.064557010734342,0.09175779953871621,0.06542158776049531,0.17062217172505484,0.008016600302144182,0.014892937758087883,0.8333333333333334,0.9166666666666666,0.8759915017345267,low,high,TNO,0.1769969871873036,multiscale graph/attention spectral filter
B-k0,B,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.9578736393002147,0.03275522035153984,0.10372340055320102,0.014038392798981515,0.005233965260832745,0.03152815423062843,0.20448882589363834,0.25,0.16666666666666666,0.21245914639969937,low,low,MGN-lite,0.0137818815291393,local message passing (MGN-like)
B-k1,B,1,1.0,0.0,2.0,3.0,2.005,0.07909722312353551,0.8074153077429573,8.731422034631265,0.397050778453767,0.12024040570678475,0.10356114442203534,0.044592098374112446,0.031719158502138675,0.21002749765360915,0.5,0.5833333333333334,0.5432668671002208,high,medium,TNO,0.1057530309073627,kernel-aware cochain operator with identity branch
B-k2,B,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.872006396964117,0.915423808984224,0.5003015020351581,0.3795020246736523,0.8978887670818233,0.0798683820638753,0.21119040820530166,1.0,0.75,0.8838834764831844,low,high,MGN-lite,0.34862179659307,multiscale graph/attention spectral filter
C-k0,C,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.887010744246507,0.03207794106716522,0.052890278359704244,0.012313307782871584,0.003403736717635971,0.007014810862812626,0.10477173109302076,0.16666666666666666,0.08333333333333333,0.13176156917368248,low,low,MGN-lite,0.009984669816331,local message passing (MGN-like)
C-k1,C,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02825264035345,0.3648579708905231,0.06738234205259068,0.025685517533009964,0.06229220856772159,0.007014810862807698,0.11649998906156715,0.6666666666666666,0.4166666666666667,0.5559026693385972,low,medium,GNOT,0.1055816355720162,lightweight graph or coordinate operator
C-k2,C,2,1.0,0.0,2.0,3.0,1.995,0.07791666755452753,0.8008707079864017,19.786889155917848,1.0332497087189123,0.3270754939249417,0.09428619114708175,0.6351584258888574,0.027730552916335808,0.12177199810012715,0.75,0.8333333333333334,0.7927623996016854,high,high,TNO,0.1428209735220298,hard kernel projector + multiscale positive-spectrum filter
D-k0,D,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.850605168120599,0.033051242305661005,0.09657649605743727,0.00761262618971857,0.003210017016568529,0.025323571193406443,0.19130744579913825,0.08333333333333333,0.25,0.18633899812498247,low,low,MGN-lite,0.0134072705742437,local message passing (MGN-like)
D-k1,D,1,1.0,0.0,2.0,3.0,2.005,0.07909722312353551,0.8074153077429573,8.840501922412457,0.3997657424156811,0.10659971311348658,0.07596661176189314,0.020483712144356517,0.025264487095719598,0.1965329297331766,0.5833333333333334,0.6666666666666666,0.6263873490988712,high,medium,TNO,0.1168681760178878,kernel-aware cochain operator with identity branch
D-k2,D,2,1.0,0.0,2.0,3.0,2.005,0.07909722312353551,0.8074153077429573,23.442625972073614,1.3366968369022223,0.4554692044260455,0.16112155821552507,0.8695218484626251,0.09417995499290498,0.19725749497510692,0.9166666666666666,1.0,0.9592387027684448,high,high,TNO,0.2218053570343181,hard kernel projector + multiscale positive-spectrum filter
