task,metric,models,spearman_with_overall_ood_loss,p_value
A-k1,harmonic_relative,6,0.942857142857143,0.0048046647230320545
A-k1,nonharmonic_relative,6,1.0,0.0
A-k1,absolute_harmonic_error,6,0.942857142857143,0.0048046647230320545
A-k1,absolute_nonharmonic_error,6,1.0,0.0
A-k1,ood_leakage_mean,6,0.08571428571428573,0.8717434402332361
A-k2,harmonic_relative,6,0.942857142857143,0.0048046647230320545
A-k2,nonharmonic_relative,6,0.3714285714285715,0.46847813411078715
A-k2,absolute_harmonic_error,6,0.942857142857143,0.0048046647230320545
A-k2,absolute_nonharmonic_error,6,0.3714285714285715,0.46847813411078715
A-k2,ood_leakage_mean,6,0.028571428571428574,0.9571545189504373
B-k1,harmonic_relative,6,0.942857142857143,0.0048046647230320545
B-k1,nonharmonic_relative,6,1.0,0.0
B-k1,absolute_harmonic_error,6,1.0,0.0
B-k1,absolute_nonharmonic_error,6,1.0,0.0
B-k1,ood_leakage_mean,6,-0.3714285714285715,0.46847813411078715
C-k2,harmonic_relative,6,0.942857142857143,0.0048046647230320545
C-k2,nonharmonic_relative,6,0.3714285714285715,0.46847813411078715
C-k2,absolute_harmonic_error,6,0.942857142857143,0.0048046647230320545
C-k2,absolute_nonharmonic_error,6,0.3714285714285715,0.46847813411078715
C-k2,ood_leakage_mean,6,-0.08571428571428573,0.8717434402332361
D-k1,harmonic_relative,6,0.8285714285714287,0.04156268221574334
D-k1,nonharmonic_relative,6,0.942857142857143,0.0048046647230320545
D-k1,absolute_harmonic_error,6,0.8285714285714287,0.04156268221574334
D-k1,absolute_nonharmonic_error,6,0.942857142857143,0.0048046647230320545
D-k1,ood_leakage_mean,6,-0.2571428571428572,0.6227871720116618
D-k2,harmonic_relative,6,1.0,0.0
D-k2,nonharmonic_relative,6,0.4285714285714286,0.39650145772594736
D-k2,absolute_harmonic_error,6,1.0,0.0
D-k2,absolute_nonharmonic_error,6,0.4285714285714286,0.39650145772594736
D-k2,ood_leakage_mean,6,-0.3714285714285715,0.46847813411078715
