model,protocol,degree,task,metric,iid_mean,ood_mean,ood_iid_ratio,ratio_ci95_low,ratio_ci95_high,significant_degradation,significant_improvement
GAOT,A,1,A-k1,harmonic_relative,0.4411782757937908,0.43998560686906174,0.9972966281633419,0.9929132585238104,1.0021205252505343,False,False
GAOT,A,2,A-k2,harmonic_relative,0.7066467457016309,0.7149688061078391,1.0117768325628296,1.0086168755239922,1.0148139538083902,True,False
GAOT,B,1,B-k1,harmonic_relative,0.47259830599440666,0.4658521461983522,0.9857253830335989,0.9819124503766458,0.9894664328182076,False,True
GAOT,C,2,C-k2,harmonic_relative,0.7783229204256144,0.7753377042214075,0.9961645531348728,0.9944640501782055,0.9979922025498217,False,True
GAOT,D,1,D-k1,harmonic_relative,0.48891156194801616,0.4793821055193742,0.9805088339665086,0.977717292600072,0.9833064818510439,False,True
GAOT,D,2,D-k2,harmonic_relative,0.8420549874616446,0.8385506467024484,0.9958383468866376,0.9952691778137619,0.9964234355942014,False,True
GNOT,A,1,A-k1,harmonic_relative,0.12082192282386435,0.1322914263586669,1.0949289935604483,1.017641030176822,1.1796717427968784,True,False
GNOT,A,2,A-k2,harmonic_relative,0.17119576694443822,0.21831718839704992,1.2752487534731496,1.1824984650019064,1.3772256325186345,True,False
GNOT,B,1,B-k1,harmonic_relative,0.0889280359097348,0.23837423338244357,2.680529609601651,2.4157417235936665,2.9950105681318457,True,False
GNOT,C,2,C-k2,harmonic_relative,0.24685266762693867,0.4045431616653999,1.6388040913340889,1.5391993215925306,1.7555559343034723,True,False
GNOT,D,1,D-k1,harmonic_relative,0.12847750763383167,0.21543549651280045,1.676834338389621,1.5402918182402858,1.8331738396566237,True,False
GNOT,D,2,D-k2,harmonic_relative,0.32163023789014134,0.3936077790458997,1.2237897208505621,1.1365785906748265,1.3209226806854482,True,False
MGN-lite,A,1,A-k1,harmonic_relative,0.09645436890074052,0.10623175707490494,1.10136801769057,1.0255025685494172,1.1853529281181574,True,False
MGN-lite,A,2,A-k2,harmonic_relative,0.13829561648201585,0.2945058598462492,2.1295386458067354,1.9909219489560037,2.2797585217795637,True,False
MGN-lite,B,1,B-k1,harmonic_relative,0.11668922309822083,0.128668010023733,1.1026554690001371,1.0410550127839695,1.1749503025229309,True,False
MGN-lite,C,2,C-k2,harmonic_relative,0.23039656666232577,0.25332135117302335,1.0995014155015475,1.0423881226357357,1.1638235401630372,True,False
MGN-lite,D,1,D-k1,harmonic_relative,0.143551054551852,0.14293402020664264,0.9957016383604331,0.9409736409750814,1.0537960199295662,False,False
MGN-lite,D,2,D-k2,harmonic_relative,0.19519605135713192,0.14704026024478176,0.7532952599281975,0.7012139718665458,0.8096342037396992,False,True
RIGNO,A,1,A-k1,harmonic_relative,0.09476963012095622,0.0983452717209321,1.0377298254132097,0.9649696227740681,1.1146687999156015,False,False
RIGNO,A,2,A-k2,harmonic_relative,0.14890883069146404,0.17752084881712618,1.1921445356303515,1.1166849285846139,1.2731928557135068,True,False
RIGNO,B,1,B-k1,harmonic_relative,0.09639724484335134,0.12877171279698574,1.3358443283820831,1.2489387098873628,1.432668276615874,True,False
RIGNO,C,2,C-k2,harmonic_relative,0.2351476663143287,0.27677672580809204,1.1770336918289444,1.1279463426795213,1.2286459572570034,True,False
RIGNO,D,1,D-k1,harmonic_relative,0.10846371388804996,0.15187274952427143,1.4002171240386032,1.3236683870555233,1.4824212391670635,True,False
RIGNO,D,2,D-k2,harmonic_relative,0.2519080056361421,0.3277912967292665,1.3012341386300745,1.2481610400566396,1.3610975615294172,True,False
TNO,A,1,A-k1,harmonic_relative,0.005142853205810146,0.0048639987140632005,0.9457782515787758,0.8661512845171458,1.035077739327548,False,False
TNO,A,2,A-k2,harmonic_relative,0.004707226136063886,0.005606763608084293,1.1910971440138818,1.0823986506886236,1.313872157946635,True,False
TNO,B,1,B-k1,harmonic_relative,0.006509630383286429,0.011914528180301809,1.8302925783716137,1.685105581704529,1.993995413226235,True,False
TNO,C,2,C-k2,harmonic_relative,0.004688348100790424,0.007645305241652144,1.630703411022849,1.5127630653472943,1.7648348648380303,True,False
TNO,D,1,D-k1,harmonic_relative,0.007601323039626894,0.01438952757550093,1.8930293448381326,1.7443654494328134,2.073998217840399,True,False
TNO,D,2,D-k2,harmonic_relative,0.005711473924948723,0.008127942075564836,1.4230901131558116,1.3194469567275642,1.5410120112835692,True,False
Transolver,A,1,A-k1,harmonic_relative,0.22589425585232675,0.2310905839696837,1.0230033654318813,0.9682579864484903,1.0794539899082038,False,False
Transolver,A,2,A-k2,harmonic_relative,0.2888028665569921,0.3720409891506036,1.2882177853172283,1.2108000512749568,1.3690361522651737,True,False
Transolver,B,1,B-k1,harmonic_relative,0.26088990603473255,0.3272714597856005,1.2544427830058558,1.1987779978804964,1.3151154463267736,True,False
Transolver,C,2,C-k2,harmonic_relative,0.3589973381873387,0.4638294514144461,1.2920136225943546,1.2187180324294002,1.373870355134071,True,False
Transolver,D,1,D-k1,harmonic_relative,0.25659875771530294,0.2977753489091992,1.1604707347742556,1.1057715144505036,1.2209258898880224,True,False
Transolver,D,2,D-k2,harmonic_relative,0.43122765144571323,0.4633538947751125,1.0744994974710456,1.0092297487932236,1.1441501332792392,True,False
GAOT,A,1,A-k1,nonharmonic_relative,0.6349395344158013,0.6022358936568101,0.9484932989878637,0.9336948308228792,0.9645366356819022,False,True
GAOT,A,2,A-k2,nonharmonic_relative,1.1985708338022232,1.186519083082676,0.9899448990575671,0.961352748030842,1.018581459166315,False,False
GAOT,B,1,B-k1,nonharmonic_relative,0.5876493401328723,0.5996468872825305,1.0204161671413177,1.000788582002265,1.040042249684165,True,False
GAOT,C,2,C-k2,nonharmonic_relative,0.6454063839217028,0.8747808078428109,1.355395344133409,1.2992977930005252,1.4137330532005026,True,False
GAOT,D,1,D-k1,nonharmonic_relative,0.5803800928592682,0.5980634150405725,1.0304685195061674,1.0152577498626725,1.0459731413878286,True,False
GAOT,D,2,D-k2,nonharmonic_relative,0.6278303623199463,0.8159172762433687,1.2995823795891424,1.260873850537646,1.339010370365132,True,False
GNOT,A,1,A-k1,nonharmonic_relative,0.4968409317731857,0.49043228636185326,0.9871012128782394,0.962425410011184,1.012169072858752,False,False
GNOT,A,2,A-k2,nonharmonic_relative,1.4925210569798946,1.589689819663763,1.0651037800963583,1.0317772420142326,1.0988601572464918,True,False
GNOT,B,1,B-k1,nonharmonic_relative,0.28883194568256537,0.4223049270361662,1.4621129461172186,1.3978482395214578,1.5347509925953033,True,False
GNOT,C,2,C-k2,nonharmonic_relative,1.1708994580060244,1.7788228863477706,1.5191935346656376,1.4094960304990873,1.654387479513713,True,False
GNOT,D,1,D-k1,nonharmonic_relative,0.3336452311525743,0.43811234563589097,1.3131083699926505,1.2511700170649502,1.3829645832269386,True,False
GNOT,D,2,D-k2,nonharmonic_relative,1.2499996580928565,1.9379727214574811,1.5503786012331595,1.44077391775848,1.6779536507378632,True,False
MGN-lite,A,1,A-k1,nonharmonic_relative,0.3279597020397583,0.33235809616744516,1.0134113859090537,0.9847451956594779,1.0418857430549437,False,False
MGN-lite,A,2,A-k2,nonharmonic_relative,1.0567765840888022,1.2647775164743265,1.1968258338763955,1.1608802959896627,1.2316528213132063,True,False
MGN-lite,B,1,B-k1,nonharmonic_relative,0.3002456434443593,0.3947835601617893,1.314868571052671,1.2593622197229217,1.3752483721432016,True,False
MGN-lite,C,2,C-k2,nonharmonic_relative,0.7694520118584236,1.2785704880952835,1.661663714421315,1.545807521841888,1.7940270173154234,True,False
MGN-lite,D,1,D-k1,nonharmonic_relative,0.33103816854457063,0.4317461710919936,1.3042187038095565,1.251651117600747,1.3639393199777554,True,False
MGN-lite,D,2,D-k2,nonharmonic_relative,0.8655593405415616,1.3369063489635784,1.5445577054550192,1.4429297290210925,1.6696656135417287,True,False
RIGNO,A,1,A-k1,nonharmonic_relative,0.4197143989903565,0.406022877808451,0.9673789576535651,0.9432208169231223,0.9921179987366432,False,True
RIGNO,A,2,A-k2,nonharmonic_relative,1.3275878635970395,1.3815626496595679,1.0406562816228564,1.010400654412084,1.071510441527784,True,False
RIGNO,B,1,B-k1,nonharmonic_relative,0.3198801403847167,0.3698630793767111,1.156255211501171,1.1154677757522853,1.201510112621362,True,False
RIGNO,C,2,C-k2,nonharmonic_relative,1.017553933829244,1.47005333675725,1.4446932864027382,1.345040384899041,1.5637269285115567,True,False
RIGNO,D,1,D-k1,nonharmonic_relative,0.3455694157927002,0.4044199156492976,1.1703000820267333,1.1262383927318789,1.2117857792083195,True,False
RIGNO,D,2,D-k2,nonharmonic_relative,1.0852831828663256,1.5091045483435164,1.3905168458949595,1.2958142562415151,1.4976104702397874,True,False
TNO,A,1,A-k1,nonharmonic_relative,0.1511033306767543,0.1521726991608739,1.0070770675823164,0.9736934724166662,1.0408798731139184,False,False
TNO,A,2,A-k2,nonharmonic_relative,0.4085655838251114,0.40603734195232394,0.9938119068911505,0.9674599118988849,1.0214754302331257,False,False
TNO,B,1,B-k1,nonharmonic_relative,0.15617279859880606,0.15503176175057887,0.9926937542295626,0.9578319740953865,1.0289941702213363,False,False
TNO,C,2,C-k2,nonharmonic_relative,0.3154035626848539,0.3405185524374247,1.079628110531477,1.0450474190753407,1.1157871193710138,True,False
TNO,D,1,D-k1,nonharmonic_relative,0.17197279429684084,0.17093093973894913,0.9939417478029268,0.9582363405159753,1.031769153990635,False,False
TNO,D,2,D-k2,nonharmonic_relative,0.40770417888959254,0.5312058318654695,1.30291976234077,1.2598285318441986,1.3463046345773217,True,False
Transolver,A,1,A-k1,nonharmonic_relative,0.6034469309945901,0.5781353223323822,0.9580549550207376,0.9349472890525709,0.9800463070970917,False,True
Transolver,A,2,A-k2,nonharmonic_relative,1.6855947087705134,1.6883990160624187,1.0016636901363727,0.9671676914863615,1.0366831513522015,False,False
Transolver,B,1,B-k1,nonharmonic_relative,0.5175239965071281,0.586066823899746,1.1324437665771916,1.0927007236541408,1.1721702067660913,True,False
Transolver,C,2,C-k2,nonharmonic_relative,1.2791251562039059,1.888587362666925,1.476468001200336,1.368013866994662,1.5994361774178827,True,False
Transolver,D,1,D-k1,nonharmonic_relative,0.4759080835183462,0.5384481866657734,1.131412147244784,1.0929905847500532,1.1760982507101456,True,False
Transolver,D,2,D-k2,nonharmonic_relative,1.301878660172224,1.9731484919786453,1.515616280027283,1.4073812924968951,1.6322159316060447,True,False
GAOT,A,1,A-k1,absolute_harmonic_error,0.23779612498978772,0.2373102045804262,0.997956567162815,0.9938015849268994,1.0022614126981866,False,False
GAOT,A,2,A-k2,absolute_harmonic_error,0.38018177871902786,0.38529956504702567,1.0134614192827127,1.0105703942296125,1.016376812836219,True,False
GAOT,B,1,B-k1,absolute_harmonic_error,0.16932952798071682,0.25119040160739425,1.4834412202136196,1.3490434939313816,1.6465691170450316,True,False
GAOT,C,2,C-k2,absolute_harmonic_error,0.2808243574743103,0.4176740238098367,1.4873140904330497,1.3555925697151205,1.6584930968483598,True,False
GAOT,D,1,D-k1,absolute_harmonic_error,0.17530947626511584,0.2585402014214869,1.4747645531096603,1.3414202682122858,1.6243801158307503,True,False
GAOT,D,2,D-k2,absolute_harmonic_error,0.3018633773191725,0.45197463192249104,1.4972821013762876,1.3637726702534796,1.6600011727795863,True,False
GNOT,A,1,A-k1,absolute_harmonic_error,0.057896268376304454,0.0642169742375457,1.109172940457057,1.0332425493212989,1.1973355991413723,True,False
GNOT,A,2,A-k2,absolute_harmonic_error,0.07999930018947149,0.10755794926856956,1.3444861269096513,1.2531202535293469,1.445134042174269,True,False
GNOT,B,1,B-k1,absolute_harmonic_error,0.02758207504775057,0.11776580128325605,4.269649802457146,3.732796274822558,4.936049576857016,True,False
GNOT,C,2,C-k2,absolute_harmonic_error,0.08032202323373838,0.20174814017062587,2.511741264049385,2.236539233554718,2.855427555937748,True,False
GNOT,D,1,D-k1,absolute_harmonic_error,0.03983496246829295,0.10597141584108691,2.6602614706308736,2.3473127770380633,3.0396584289180684,True,False
GNOT,D,2,D-k2,absolute_harmonic_error,0.10380839081992338,0.19617177755636883,1.8897487573502478,1.67598116537309,2.161946917304932,True,False
MGN-lite,A,1,A-k1,absolute_harmonic_error,0.04899053167784587,0.05485235046963984,1.1196520754096064,1.0526916322307356,1.1922993009507092,True,False
MGN-lite,A,2,A-k2,absolute_harmonic_error,0.06685842963866889,0.1502734371755893,2.247636356185489,2.111971584252016,2.395867562969642,True,False
MGN-lite,B,1,B-k1,absolute_harmonic_error,0.03964517676190553,0.06530555414018786,1.6472509261528068,1.477631836130688,1.8546591466717286,True,False
MGN-lite,C,2,C-k2,absolute_harmonic_error,0.079707294469358,0.12995918051131713,1.6304552974087847,1.4756652631292484,1.8348071841961373,True,False
MGN-lite,D,1,D-k1,absolute_harmonic_error,0.04873521272290113,0.0724543846794971,1.4866947455420343,1.341284236245193,1.6809105970760023,True,False
MGN-lite,D,2,D-k2,absolute_harmonic_error,0.06578446558478586,0.07284527239152853,1.1073324339244661,0.9912390305295736,1.2623062365721556,False,False
RIGNO,A,1,A-k1,absolute_harmonic_error,0.0458928725879135,0.04840675224375445,1.0547771257937826,0.9857267955995326,1.1253064523583394,False,False
RIGNO,A,2,A-k2,absolute_harmonic_error,0.07401507665830043,0.09059592550620436,1.224019883451954,1.146313194100182,1.3011762623446317,True,False
RIGNO,B,1,B-k1,absolute_harmonic_error,0.03193142994117399,0.0635990465116562,1.9917381284468145,1.7884063561274315,2.2521412958477045,True,False
RIGNO,C,2,C-k2,absolute_harmonic_error,0.08462937648380642,0.14505684359545848,1.714024723099557,1.5518070082383866,1.9168402919332785,True,False
