model,protocol,degree,task,split,harmonic_error_energy_share,target_harmonic_energy_fraction_mean,harmonic_error_share_over_target_share
GAOT,A,1,A-k1,test_iid,0.49875014347318,0.3148148184021314,1.5842651435679793
GAOT,A,1,A-k1,test_ood,0.5060655607143835,0.3148148184021314,1.6075023510105433
GAOT,A,2,A-k2,test_iid,0.884889598125187,0.3148148184021314,2.8108257502506304
GAOT,A,2,A-k2,test_ood,0.8786721365579567,0.3148148184021314,2.791076166673887
GAOT,B,1,B-k1,test_iid,0.545504046330436,0.3148148184021314,1.7327775391869635
GAOT,B,1,B-k1,test_ood,0.5377354184009299,0.3148148184021314,1.7081007213391364
GAOT,C,2,C-k2,test_iid,0.9595605067630479,0.3148148184021314,3.04801569263282
GAOT,C,2,C-k2,test_ood,0.9426034109292687,0.3148148184021314,2.9941519770687104
GAOT,D,1,D-k1,test_iid,0.5844308784924374,0.3148148184021314,1.8564274752337409
GAOT,D,1,D-k1,test_ood,0.5602069754242494,0.3148148184021314,1.7794809604821848
GAOT,D,2,D-k2,test_iid,0.9704338437546876,0.3148148184021314,3.082554527389164
GAOT,D,2,D-k2,test_ood,0.9592782108357619,0.3148148184021314,3.0471189879328353
GNOT,A,1,A-k1,test_iid,0.10661301631335222,0.3148148184021314,0.3386531067834589
GNOT,A,1,A-k1,test_ood,0.12477952576384943,0.3148148184021314,0.39635848908630866
GNOT,A,2,A-k2,test_iid,0.21820572112900796,0.3148148184021314,0.6931240474528141
GNOT,A,2,A-k2,test_ood,0.2801066617839563,0.3148148184021314,0.8897505625867957
GNOT,B,1,B-k1,test_iid,0.14046666688272022,0.3148148184021314,0.44618823089608806
GNOT,B,1,B-k1,test_ood,0.3616968161285653,0.3148148184021314,1.1489192851987953
GNOT,C,2,C-k2,test_iid,0.32813084574474444,0.3148148184021314,1.0422979687239617
GNOT,C,2,C-k2,test_ood,0.4944719495755192,0.3148148184021314,1.5706755866361453
GNOT,D,1,D-k1,test_iid,0.18786945309305494,0.3148148184021314,0.5967617853778354
GNOT,D,1,D-k1,test_ood,0.3011494886964451,0.3148148184021314,0.9565924826059783
GNOT,D,2,D-k2,test_iid,0.4413275486683967,0.3148148184021314,1.4018639621488949
