model,protocol,degree,task,split,samples,harmonic_relative_median,nonharmonic_relative_median,median_paired_harmonic_over_nonharmonic,fraction_harmonic_easier
GAOT,A,1,A-k1,test_iid,600,0.4414113461971283,0.6131316125392914,0.7151511185601531,1.0
GAOT,A,1,A-k1,test_ood,600,0.4403694123029709,0.5862339735031128,0.7493275655381357,0.9983333333333333
GAOT,A,2,A-k2,test_iid,600,0.7034556567668915,1.135518193244934,0.6198953591682077,0.9983333333333333
GAOT,A,2,A-k2,test_ood,600,0.7135167121887207,1.1358377933502197,0.625199816277034,0.9983333333333333
GAOT,B,1,B-k1,test_iid,399,0.4727190136909485,0.6001605987548828,0.7887201846741563,1.0
GAOT,B,1,B-k1,test_ood,600,0.4653990864753723,0.5806326270103455,0.80339071923596,0.9983333333333333
GAOT,C,2,C-k2,test_iid,402,0.7785822451114655,0.6856672167778015,1.1319699818605233,0.30597014925373134
GAOT,C,2,C-k2,test_ood,600,0.7750926613807678,0.8252611458301544,0.9411488021391528,0.6183333333333333
GAOT,D,1,D-k1,test_iid,399,0.4888020157814026,0.5680260062217712,0.8613025677626897,0.9724310776942355
GAOT,D,1,D-k1,test_ood,600,0.4782330095767975,0.5799475014209747,0.8273646431243997,0.9966666666666667
GAOT,D,2,D-k2,test_iid,399,0.841837465763092,0.6528376340866089,1.2894550821027537,0.10275689223057644
GAOT,D,2,D-k2,test_ood,600,0.8385090231895447,0.773988664150238,1.082697796909424,0.34
GNOT,A,1,A-k1,test_iid,600,0.09713834524154663,0.46794432401657104,0.18800839582957452,0.9983333333333333
GNOT,A,1,A-k1,test_ood,600,0.10689150169491768,0.46932630240917206,0.21191124532002165,0.9816666666666667
GNOT,A,2,A-k2,test_iid,600,0.12565170228481293,1.4491780996322632,0.08301645109465473,0.9833333333333333
GNOT,A,2,A-k2,test_ood,600,0.18215778470039368,1.5282970070838928,0.11120707450297201,0.9816666666666667
GNOT,B,1,B-k1,test_iid,399,0.06245465204119682,0.3154074549674988,0.17728026997093024,0.9674185463659147
GNOT,B,1,B-k1,test_ood,600,0.21300117671489716,0.3986150175333023,0.5060811699859743,0.8216666666666667
GNOT,C,2,C-k2,test_iid,402,0.20358489453792572,1.5338947772979736,0.12790131384853948,0.9850746268656716
GNOT,C,2,C-k2,test_ood,600,0.3685263395309448,1.7058384418487549,0.20139675624311304,0.9583333333333334
GNOT,D,1,D-k1,test_iid,399,0.09581442922353745,0.3541666567325592,0.23654296299239405,0.9197994987468672
GNOT,D,1,D-k1,test_ood,600,0.19289038330316544,0.4122321456670761,0.4350828891184718,0.8766666666666667
GNOT,D,2,D-k2,test_iid,399,0.27418461441993713,1.5800158977508545,0.15656454453797952,0.9373433583959899
GNOT,D,2,D-k2,test_ood,600,0.34157103300094604,1.8242360353469849,0.17489984185142315,0.9516666666666667
