model,protocol,degree,task,split,harmonic_dimension,geometries,leakage_mean,leakage_median,leakage_per_sqrt_dimension_mean
GAOT,A,1,A-k1,test_iid,1,200,0.005092517285665963,0.004077664576470852,0.005092517285665963
GAOT,A,1,A-k1,test_ood,1,200,0.004762132581381593,0.004072586074471474,0.004762132581381593
GAOT,A,2,A-k2,test_iid,1,200,0.003951699826284311,0.0031920633045956492,0.003951699826284311
GAOT,A,2,A-k2,test_ood,1,200,0.004318293321557576,0.003961237613111734,0.004318293321557576
GAOT,B,1,B-k1,test_iid,0,67,0.0,0.0,
GAOT,B,1,B-k1,test_iid,1,67,0.004459477551872216,0.0033049851190298796,0.004459477551872216
GAOT,B,1,B-k1,test_iid,2,66,0.006712682698954995,0.006208099767150945,0.004746583456384693
GAOT,B,1,B-k1,test_ood,3,200,0.006212477403620552,0.005754187465147827,0.0035867755013147934
GAOT,C,2,C-k2,test_iid,0,66,0.0,0.0,
GAOT,C,2,C-k2,test_iid,1,67,0.004631668334885903,0.004796204622834921,0.004631668334885903
GAOT,C,2,C-k2,test_iid,2,67,0.00554357755364814,0.005336009403585698,0.0039199012802181325
GAOT,C,2,C-k2,test_ood,3,200,0.006540878865737663,0.006663900063199895,0.0037763781738703738
GAOT,D,1,D-k1,test_iid,0,67,0.0,0.0,
GAOT,D,1,D-k1,test_iid,1,67,0.003419087589857405,0.0027347151190042496,0.003419087589857405
GAOT,D,1,D-k1,test_iid,2,66,0.004256649845858462,0.003945805130444099,0.003009905971143191
GAOT,D,1,D-k1,test_ood,3,200,0.005115950030600989,0.004723627193746719,0.0029536951273281546
GAOT,D,2,D-k2,test_iid,0,67,0.0,0.0,
GAOT,D,2,D-k2,test_iid,1,67,0.000823776704413858,0.0007138123619370162,0.000823776704413858
GAOT,D,2,D-k2,test_iid,2,66,0.001258552750369178,0.0012382033364855254,0.000889931184267026
GAOT,D,2,D-k2,test_ood,3,200,0.0008970496967715133,0.0008954790117474049,0.0005179118839075054
GNOT,A,1,A-k1,test_iid,1,200,0.014328040809486993,0.010830266401171684,0.014328040809486993
GNOT,A,1,A-k1,test_ood,1,200,0.012950045399484224,0.010746614076197147,0.012950045399484224
GNOT,A,2,A-k2,test_iid,1,200,0.003908411246666219,0.0025439622113481164,0.003908411246666219
GNOT,A,2,A-k2,test_ood,1,200,0.014042795808636583,0.005836911266669631,0.014042795808636583
GNOT,B,1,B-k1,test_iid,0,67,0.0,0.0,
GNOT,B,1,B-k1,test_iid,1,67,0.0113163311364574,0.006861734203994274,0.0113163311364574
GNOT,B,1,B-k1,test_iid,2,66,0.01862624316053185,0.015913270554661497,0.01317074284684162
GNOT,B,1,B-k1,test_ood,3,200,0.022622137630917763,0.020382311925969808,0.013060897250855135
GNOT,C,2,C-k2,test_iid,0,66,0.0,0.0,
GNOT,C,2,C-k2,test_iid,1,67,0.005995557153486272,0.0034831701777875423,0.005995557153486272
GNOT,C,2,C-k2,test_iid,2,67,0.011238972340628933,0.007187565111353791,0.007947153555626762
GNOT,C,2,C-k2,test_ood,3,200,0.01370127819804411,0.009220135822081288,0.007910436655882716
GNOT,D,1,D-k1,test_iid,0,67,0.0,0.0,
GNOT,D,1,D-k1,test_iid,1,67,0.011216216922195545,0.00687246210873127,0.011216216922195545
GNOT,D,1,D-k1,test_iid,2,66,0.015692799691562398,0.013172165152640341,0.011096485077705932
GNOT,D,1,D-k1,test_ood,3,200,0.01914469479183651,0.018553038065053783,0.011053194691620036
GNOT,D,2,D-k2,test_iid,0,67,0.0,0.0,
GNOT,D,2,D-k2,test_iid,1,67,0.007107525200795021,0.004903785418719053,0.007107525200795021
GNOT,D,2,D-k2,test_iid,2,66,0.010938732603006152,0.007349878580913731,0.007734852001172023
GNOT,D,2,D-k2,test_ood,3,200,0.013364804935403709,0.010205358630605368,0.007716173727122171
MGN-lite,A,1,A-k1,test_iid,1,200,0.02195908959576627,0.017454246059060097,0.02195908959576627
MGN-lite,A,1,A-k1,test_ood,1,200,0.018427151071664413,0.01353372074663639,0.018427151071664413
MGN-lite,A,2,A-k2,test_iid,1,200,0.010006013585662004,0.005832361988723278,0.010006013585662004
MGN-lite,A,2,A-k2,test_ood,1,200,0.015009045392507686,0.010772624053061008,0.015009045392507686
MGN-lite,B,1,B-k1,test_iid,0,67,0.0,0.0,
MGN-lite,B,1,B-k1,test_iid,1,67,0.02171292221660156,0.018601275980472565,0.02171292221660156
MGN-lite,B,1,B-k1,test_iid,2,66,0.029767159364950627,0.025442358856471205,0.02104856024361723
MGN-lite,B,1,B-k1,test_ood,3,200,0.029806628213444455,0.02691877598504869,0.01720886482266725
MGN-lite,C,2,C-k2,test_iid,0,66,0.0,0.0,
MGN-lite,C,2,C-k2,test_iid,1,67,0.011708461665617885,0.008222592994570732,0.011708461665617885
MGN-lite,C,2,C-k2,test_iid,2,67,0.021191127311127145,0.0213313232237089,0.014984389822685453
MGN-lite,C,2,C-k2,test_ood,3,200,0.026153250421094162,0.024000907247914007,0.015099586170802409
MGN-lite,D,1,D-k1,test_iid,0,67,0.0,0.0,
MGN-lite,D,1,D-k1,test_iid,1,67,0.023826143013681772,0.017927059903740883,0.023826143013681772
MGN-lite,D,1,D-k1,test_iid,2,66,0.02964278971762449,0.022106043102055724,0.020960617622619138
MGN-lite,D,1,D-k1,test_ood,3,200,0.02991036748720552,0.025543935427028895,0.01726875872029874
MGN-lite,D,2,D-k2,test_iid,0,67,0.0,0.0,
MGN-lite,D,2,D-k2,test_iid,1,67,0.015315149683129988,0.009466568008065224,0.015315149683129988
MGN-lite,D,2,D-k2,test_iid,2,66,0.019190174422465563,0.01603919231591577,0.013569502466278038
MGN-lite,D,2,D-k2,test_ood,3,200,0.023673581183678287,0.021015797202988226,0.013667948469079119
RIGNO,A,1,A-k1,test_iid,1,200,0.013853503753634868,0.011640624608844519,0.013853503753634868
RIGNO,A,1,A-k1,test_ood,1,200,0.012945896281453316,0.010437779128551483,0.012945896281453316
RIGNO,A,2,A-k2,test_iid,1,200,0.004052952039855882,0.0030233904253691435,0.004052952039855882
RIGNO,A,2,A-k2,test_ood,1,200,0.011767752513405868,0.006716867676004767,0.011767752513405868
RIGNO,B,1,B-k1,test_iid,0,67,0.0,0.0,
RIGNO,B,1,B-k1,test_iid,1,67,0.015400255568075314,0.012127676978707314,0.015400255568075314
RIGNO,B,1,B-k1,test_iid,2,66,0.023094876582993383,0.018996919851755084,0.016330543842501023
RIGNO,B,1,B-k1,test_ood,3,200,0.02741481309388849,0.02607640999860976,0.015827949719539797
RIGNO,C,2,C-k2,test_iid,0,66,0.0,0.0,
RIGNO,C,2,C-k2,test_iid,1,67,0.005791256490073153,0.004345758818089962,0.005791256490073153
RIGNO,C,2,C-k2,test_iid,2,67,0.014504481208340525,0.010900822243215985,0.010256217020010432
RIGNO,C,2,C-k2,test_ood,3,200,0.01968060004692631,0.01406697680606459,0.011362599734906267
RIGNO,D,1,D-k1,test_iid,0,67,0.0,0.0,
RIGNO,D,1,D-k1,test_iid,1,67,0.015388662117158078,0.011342646554112434,0.015388662117158078
RIGNO,D,1,D-k1,test_iid,2,66,0.02189630202731238,0.021234896540169045,0.015483023646421333
RIGNO,D,1,D-k1,test_ood,3,200,0.02323491189542359,0.021262270521423203,0.013414682637420046
RIGNO,D,2,D-k2,test_iid,0,67,0.0,0.0,
RIGNO,D,2,D-k2,test_iid,1,67,0.006589970158312275,0.004194193985313177,0.006589970158312275
RIGNO,D,2,D-k2,test_iid,2,66,0.01230727159753113,0.01051560596505318,0.008702555204518856
RIGNO,D,2,D-k2,test_ood,3,200,0.012983408919643122,0.010559830151050161,0.007495974634754945
TNO,A,1,A-k1,test_iid,1,200,0.002741402672691038,0.002082662540487945,0.002741402672691038
TNO,A,1,A-k1,test_ood,1,200,0.002870157714023662,0.0021260122302919626,0.002870157714023662
TNO,A,2,A-k2,test_iid,1,200,0.002151294526120182,0.001817562384530902,0.002151294526120182
TNO,A,2,A-k2,test_ood,1,200,0.003395290820626542,0.0028863779734820127,0.003395290820626542
TNO,B,1,B-k1,test_iid,0,67,0.0,0.0,
TNO,B,1,B-k1,test_iid,1,67,0.0028422921600598674,0.002683350583538413,0.0028422921600598674
