task,protocol,degree,task_type,harmonic_supported,model,ood_loss,rank,relative_regret_to_best,best_model
A-k0,A,0,scalar_local_diffusion,False,MGN-lite,0.0105431278969626,1,1.0,MGN-lite
A-k0,A,0,scalar_local_diffusion,False,TNO,0.0161221300548641,2,1.5291600569038692,MGN-lite
A-k0,A,0,scalar_local_diffusion,False,GNOT,0.0221354011457879,3,2.099509876207131,MGN-lite
A-k0,A,0,scalar_local_diffusion,False,RIGNO,0.0265162121149522,4,2.5150232809554867,MGN-lite
A-k0,A,0,scalar_local_diffusion,False,Transolver,0.0379300572408828,5,3.5976095150861425,MGN-lite
A-k0,A,0,scalar_local_diffusion,False,GAOT,0.3205462274700403,6,30.403332920051874,MGN-lite
A-k1,A,1,nontrivial_harmonic_subspace,True,TNO,0.1085708239488303,1,1.0,TNO
A-k1,A,1,nontrivial_harmonic_subspace,True,MGN-lite,0.2287890871055424,2,2.1072796427645355,TNO
A-k1,A,1,nontrivial_harmonic_subspace,True,RIGNO,0.2651051109227872,3,2.4417711985655735,TNO
A-k1,A,1,nontrivial_harmonic_subspace,True,GNOT,0.3294407864846289,4,3.034339931323494,TNO
A-k1,A,1,nontrivial_harmonic_subspace,True,Transolver,0.4159689114056528,5,3.8313139412269726,TNO
A-k1,A,1,nontrivial_harmonic_subspace,True,GAOT,0.5296794358640909,6,4.878653551655186,TNO
A-k2,A,2,nontrivial_harmonic_subspace,True,TNO,0.1769969871873036,1,1.0,TNO
A-k2,A,2,nontrivial_harmonic_subspace,True,RIGNO,0.4070699361784305,2,2.299869295219453,TNO
A-k2,A,2,nontrivial_harmonic_subspace,True,MGN-lite,0.475985189564526,3,2.689227636744031,TNO
A-k2,A,2,nontrivial_harmonic_subspace,True,GNOT,0.48637690782547,4,2.7479389087610353,TNO
A-k2,A,2,nontrivial_harmonic_subspace,True,Transolver,0.593263214994222,5,3.3518266294917933,TNO
A-k2,A,2,nontrivial_harmonic_subspace,True,GAOT,0.8580842173099518,6,4.848015951830304,TNO
B-k0,B,0,scalar_local_diffusion,False,MGN-lite,0.0137818815291393,1,1.0,MGN-lite
B-k0,B,0,scalar_local_diffusion,False,TNO,0.0215929331630468,2,1.5667623551539347,MGN-lite
B-k0,B,0,scalar_local_diffusion,False,RIGNO,0.0291788833346018,3,2.117191565818377,MGN-lite
B-k0,B,0,scalar_local_diffusion,False,GNOT,0.0350049298850353,4,2.5399238711364407,MGN-lite
B-k0,B,0,scalar_local_diffusion,False,Transolver,0.0493301427247934,5,3.5793474657646507,MGN-lite
B-k0,B,0,scalar_local_diffusion,False,GAOT,0.315519651658833,6,22.89380089298574,MGN-lite
B-k1,B,1,nontrivial_harmonic_subspace,True,TNO,0.1057530309073627,1,1.0,TNO
B-k1,B,1,nontrivial_harmonic_subspace,True,RIGNO,0.2428256040185786,2,2.2961573955387475,TNO
B-k1,B,1,nontrivial_harmonic_subspace,True,MGN-lite,0.269862802401185,3,2.551820974640233,TNO
B-k1,B,1,nontrivial_harmonic_subspace,True,GNOT,0.3079116935096681,4,2.911611051407046,TNO
B-k1,B,1,nontrivial_harmonic_subspace,True,Transolver,0.4230182682722807,5,4.0000581037042355,TNO
B-k1,B,1,nontrivial_harmonic_subspace,True,GAOT,0.5359051483497024,6,5.067515736916736,TNO
B-k2,B,2,higher_order_zero_harmonic,False,MGN-lite,0.34862179659307,1,1.0,MGN-lite
B-k2,B,2,higher_order_zero_harmonic,False,RIGNO,0.3970727529775377,2,1.1389785631821014,MGN-lite
B-k2,B,2,higher_order_zero_harmonic,False,TNO,0.521047703847289,3,1.4945930201130935,MGN-lite
B-k2,B,2,higher_order_zero_harmonic,False,GNOT,0.5598653769493103,4,1.6059391077110852,MGN-lite
B-k2,B,2,higher_order_zero_harmonic,False,Transolver,0.578863318040967,5,1.6604335233710221,MGN-lite
B-k2,B,2,higher_order_zero_harmonic,False,GAOT,0.68562126301229,6,1.9666620667800176,MGN-lite
C-k0,C,0,scalar_local_diffusion,False,MGN-lite,0.009984669816331,1,1.0,MGN-lite
C-k0,C,0,scalar_local_diffusion,False,TNO,0.0159796686121262,2,1.600420334980906,MGN-lite
C-k0,C,0,scalar_local_diffusion,False,GNOT,0.0196160604443866,3,1.9646178396708152,MGN-lite
C-k0,C,0,scalar_local_diffusion,False,RIGNO,0.0234101577550471,4,2.344610105860213,MGN-lite
C-k0,C,0,scalar_local_diffusion,False,Transolver,0.0335908985277637,5,3.3642473056867823,MGN-lite
C-k0,C,0,scalar_local_diffusion,False,GAOT,0.3235577895678579,6,32.405457117735075,MGN-lite
C-k1,C,1,higher_order_zero_harmonic,False,GNOT,0.1055816355720162,1,1.0,GNOT
C-k1,C,1,higher_order_zero_harmonic,False,RIGNO,0.1751692009306901,2,1.659087775839662,GNOT
C-k1,C,1,higher_order_zero_harmonic,False,TNO,0.1880911269690841,3,1.7814757836441069,GNOT
C-k1,C,1,higher_order_zero_harmonic,False,MGN-lite,0.1985913127940148,4,1.8809266565922593,GNOT
C-k1,C,1,higher_order_zero_harmonic,False,Transolver,0.2822938651777804,5,2.673702331360746,GNOT
C-k1,C,1,higher_order_zero_harmonic,False,GAOT,0.5216098552942277,6,4.9403464197942135,GNOT
C-k2,C,2,nontrivial_harmonic_subspace,True,TNO,0.1428209735220298,1,1.0,TNO
C-k2,C,2,nontrivial_harmonic_subspace,True,RIGNO,0.4568010262449681,2,3.1984169760228363,TNO
C-k2,C,2,nontrivial_harmonic_subspace,True,MGN-lite,0.4633256523311138,3,3.2441009251323085,TNO
C-k2,C,2,nontrivial_harmonic_subspace,True,GNOT,0.5768615715578198,4,4.039053630094744,TNO
C-k2,C,2,nontrivial_harmonic_subspace,True,Transolver,0.6522071898728609,5,4.566606526962649,TNO
C-k2,C,2,nontrivial_harmonic_subspace,True,GAOT,0.7927930309996009,6,5.550956637873039,TNO
D-k0,D,0,scalar_local_diffusion,False,MGN-lite,0.0134072705742437,1,1.0,MGN-lite
D-k0,D,0,scalar_local_diffusion,False,TNO,0.0196038607636,2,1.462181333258119,MGN-lite
D-k0,D,0,scalar_local_diffusion,False,GNOT,0.0289028215198777,3,2.155757307934251,MGN-lite
