model,model_key,protocol,degree,task,seed,split,geometry_id,beta1,beta2,harmonic_dimension,basis_index,probe_mode,pure_harmonic_identity_error,harmonic_preservation_error,harmonic_to_nonharmonic_leakage,predicted_norm,coefficient_identity_error
MGN-lite,mgn-lite,A,1,A-k1,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.1510711163282394,0.1218957975506782,0.0892406851053237,0.8826273083686829,0.1218957901000976
MGN-lite,mgn-lite,A,1,A-k1,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.1371084451675415,0.1056896299123764,0.0873408839106559,0.8985651731491089,0.1056894659996032
MGN-lite,mgn-lite,A,1,A-k1,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.1703236699104309,0.1419064104557037,0.0941951051354408,0.8632481098175049,0.1419063210487365
MGN-lite,mgn-lite,A,1,A-k1,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.1489192247390747,0.1175262480974197,0.0914577394723892,0.8872003555297852,0.1175262331962585
MGN-lite,mgn-lite,A,1,A-k1,0,test_ood,PA_test_ood_0000_b11,1,1,1,0,combined,0.1438952386379242,0.1081549972295761,0.0949122458696365,0.8968811631202698,0.1081549525260925
MGN-lite,mgn-lite,A,1,A-k1,0,test_ood,PA_test_ood_0066_b11,1,1,1,0,combined,0.1695954501628875,0.1132728308439254,0.126221552491188,0.8956656455993652,0.1132727265357971
MGN-lite,mgn-lite,A,1,A-k1,0,test_ood,PA_test_ood_0132_b11,1,1,1,0,combined,0.1795996129512787,0.1249970868229866,0.1289641261100769,0.8844556212425232,0.1249969005584716
MGN-lite,mgn-lite,A,1,A-k1,0,test_ood,PA_test_ood_0199_b11,1,1,1,0,combined,0.1537427604198455,0.1192796230316162,0.0970010757446289,0.8860460519790649,0.1192796826362609
MGN-lite,mgn-lite,A,2,A-k2,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.2195406109094619,0.2108938246965408,0.0610067509114742,0.7914608120918274,0.2108938694000244
MGN-lite,mgn-lite,A,2,A-k2,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.2689988911151886,0.2579519748687744,0.0762963443994522,0.7459599375724792,0.2579521536827087
MGN-lite,mgn-lite,A,2,A-k2,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.2436266094446182,0.2314469367265701,0.0760670825839042,0.7723081707954407,0.2314472198486328
MGN-lite,mgn-lite,A,2,A-k2,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.202788770198822,0.1934108436107635,0.0609552003443241,0.8088891506195068,0.1934109926223755
