model,model_key,protocol,degree,task,seed,split,geometry_id,beta1,beta2,harmonic_dimension,basis_index,probe_mode,pure_harmonic_identity_error,harmonic_preservation_error,harmonic_to_nonharmonic_leakage,predicted_norm,coefficient_identity_error
RIGNO,rigno,A,1,A-k1,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.1170031428337097,0.0949767529964447,0.06833116710186,0.907599151134491,0.0949767529964447
RIGNO,rigno,A,1,A-k1,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.1256629675626754,0.0792538151144981,0.0975193083286285,0.9258961081504822,0.0792538151144981
RIGNO,rigno,A,1,A-k1,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.1299257129430771,0.1081723198294639,0.0719683244824409,0.8947268128395081,0.1081723198294639
RIGNO,rigno,A,1,A-k1,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.1260199397802353,0.0933455601334571,0.0846618562936782,0.910598635673523,0.0933455601334571
RIGNO,rigno,A,1,A-k1,0,test_ood,PA_test_ood_0000_b11,1,1,1,0,combined,0.1453242897987365,0.1036985367536544,0.1018123924732208,0.9020654559135436,0.1036985367536544
RIGNO,rigno,A,1,A-k1,0,test_ood,PA_test_ood_0066_b11,1,1,1,0,combined,0.1178785264492034,0.0787899494171142,0.0876783281564712,0.925373077392578,0.0787899494171142
RIGNO,rigno,A,1,A-k1,0,test_ood,PA_test_ood_0132_b11,1,1,1,0,combined,0.1180901527404785,0.0817914083600044,0.0851789265871048,0.9221510291099548,0.0817914083600044
RIGNO,rigno,A,1,A-k1,0,test_ood,PA_test_ood_0199_b11,1,1,1,0,combined,0.1209607049822807,0.0797315537929534,0.0909635499119758,0.9247531294822692,0.0797315537929534
RIGNO,rigno,A,2,A-k2,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.235607236623764,0.2228512465953827,0.0764726400375366,0.7809021472930908,0.2228512465953827
RIGNO,rigno,A,2,A-k2,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.2333701401948928,0.2243140935897827,0.064380258321762,0.7783530950546265,0.2243140786886215
RIGNO,rigno,A,2,A-k2,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.2265811413526535,0.2120999544858932,0.0797032713890075,0.7919211387634277,0.2120999544858932
RIGNO,rigno,A,2,A-k2,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.2294383347034454,0.2139292806386947,0.0829227864742279,0.790432333946228,0.2139292806386947
RIGNO,rigno,A,2,A-k2,0,test_ood,PA_test_ood_0000_b11,1,1,1,0,combined,0.2004121094942093,0.1912111937999725,0.0600273832678794,0.8110133409500122,0.1912111937999725
RIGNO,rigno,A,2,A-k2,0,test_ood,PA_test_ood_0066_b11,1,1,1,0,combined,0.1830527633428573,0.1634954512119293,0.0823258012533187,0.8405458331108093,0.1634954512119293
RIGNO,rigno,A,2,A-k2,0,test_ood,PA_test_ood_0132_b11,1,1,1,0,combined,0.2192399948835373,0.2032165825366974,0.0822750106453895,0.8010199069976807,0.2032165825366974
RIGNO,rigno,A,2,A-k2,0,test_ood,PA_test_ood_0199_b11,1,1,1,0,combined,0.2034876495599746,0.1902417689561844,0.0722169652581214,0.8129720687866211,0.1902417689561844
RIGNO,rigno,B,1,B-k1,0,test_iid,PB_test_iid_0000_b10,1,0,1,0,combined,0.1656111031770706,0.1172807142138481,0.1169284880161285,0.8904300332069397,0.1172807142138481
RIGNO,rigno,B,1,B-k1,0,test_iid,PB_test_iid_0066_b10,1,0,1,0,combined,0.1089283227920532,0.0632158741354942,0.0887081250548362,0.9409748315811156,0.0632158741354942
RIGNO,rigno,B,1,B-k1,0,test_iid,PB_test_iid_0132_b10,1,0,1,0,combined,0.1371258646249771,0.0952420309185981,0.0986532047390937,0.9101205468177797,0.0952420309185981
