model,task,protocol,degree,split,geometries,identity_error_median,identity_error_mean,harmonic_preservation_median,harmonic_to_nonharmonic_leakage_median
GAOT,A-k1,A,1,test_iid,4,0.4437716603279114,0.4433384463191032,0.4379390776157379,0.0731944218277931
GAOT,A-k1,A,1,test_ood,4,0.45209063589572906,0.44924966245889664,0.4464216083288193,0.06774524971842766
GAOT,A-k2,A,2,test_iid,4,0.6945942044258118,0.6937443614006042,0.6921281218528748,0.0579278711229562
GAOT,A-k2,A,2,test_ood,4,0.7022066414356232,0.7024056166410446,0.700069010257721,0.05614699609577655
GAOT,B-k1,B,1,test_iid,4,0.4805072546005249,0.48058589547872543,0.47591136395931244,0.06294398382306095
GAOT,B-k1,B,1,test_ood,4,0.4739569276571274,0.4747237414121628,0.47029809653759,0.05876161903142925
GAOT,C-k2,C,2,test_iid,4,0.7682482600212097,0.7683093249797821,0.7665911912918091,0.047391353175044046
GAOT,C-k2,C,2,test_ood,4,0.7684893310070038,0.7695557773113251,0.7674242556095123,0.04239801131188865
GAOT,D-k1,D,1,test_iid,4,0.4906181395053863,0.48866000026464457,0.48774002492427826,0.052981911227107
GAOT,D-k1,D,1,test_ood,4,0.4695152342319488,0.47159156203269953,0.46781234443187714,0.0400326959788799
GAOT,D-k2,D,2,test_iid,4,0.8278599679470062,0.8263093829154968,0.8274838328361511,0.023784740827977602
GAOT,D-k2,D,2,test_ood,4,0.8225310444831848,0.8221433162689209,0.822219580411911,0.02253068238496775
GNOT,A-k1,A,1,test_iid,4,0.13913172483444208,0.1447570007294416,0.0908897668123245,0.1051110699772834
GNOT,A-k1,A,1,test_ood,4,0.1920766085386276,0.1905073337256908,0.12129870429635045,0.14890003204345698
GNOT,A-k2,A,2,test_iid,4,0.17369906604290003,0.18014639243483538,0.12484034523367879,0.12460665777325625
GNOT,A-k2,A,2,test_ood,4,0.18530718982219696,0.18954433873295778,0.11767648160457606,0.14305816590785975
GNOT,B-k1,B,1,test_iid,4,0.09629216790199274,0.09760070033371446,0.05664035305380816,0.0775586888194084
GNOT,B-k1,B,1,test_ood,4,0.2157643064856529,0.21666331216692922,0.17261164635419846,0.14299594610929484
GNOT,C-k2,C,2,test_iid,4,0.35647693276405334,0.36812690645456314,0.26285091042518616,0.23635584115982056
GNOT,C-k2,C,2,test_ood,4,0.3766982555389404,0.35857643932104105,0.30140186846256256,0.20065565407276148
GNOT,D-k1,D,1,test_iid,4,0.15648381412029266,0.16664757207036018,0.11485514789819715,0.11133803799748421
GNOT,D-k1,D,1,test_ood,4,0.20956260710954666,0.20780741423368454,0.16168509423732755,0.12944681197404861
GNOT,D-k2,D,2,test_iid,4,0.2792778015136719,0.2784051448106766,0.20857265591621393,0.18751975893974304
GNOT,D-k2,D,2,test_ood,4,0.4983907639980316,0.4949422553181648,0.43587252497673035,0.2597239688038826
MGN-lite,A-k1,A,1,test_iid,4,0.14999517053365707,0.15185561403632164,0.11971102282404894,0.09034921228885645
MGN-lite,A-k1,A,1,test_ood,4,0.1616691052913665,0.16170826554298395,0.1162762269377708,0.11161131411790845
MGN-lite,A-k2,A,2,test_iid,4,0.23158361017704004,0.23373872041702265,0.22117038071155545,0.06853691674768919
MGN-lite,A-k2,A,2,test_ood,4,0.2734899967908859,0.2822475582361221,0.2600140869617462,0.08805285394191739
MGN-lite,B-k1,B,1,test_iid,4,0.16699080169200894,0.16937149316072458,0.14069745689630503,0.0884424671530723
MGN-lite,B-k1,B,1,test_ood,4,0.1578442677855491,0.16453351825475687,0.0838143043220043,0.1334827840328216
MGN-lite,C-k2,C,2,test_iid,4,0.24551712721586225,0.24077974632382393,0.23366416245698926,0.07703749462962145
MGN-lite,C-k2,C,2,test_ood,4,0.21253314614295954,0.2030236385762691,0.15938740223646158,0.1275468878448009
MGN-lite,D-k1,D,1,test_iid,4,0.1730873361229896,0.1724382080137729,0.1424051225185394,0.11032609641551966
MGN-lite,D-k1,D,1,test_ood,4,0.1612894460558891,0.1627225466072559,0.0751614440232515,0.14300712198019025
MGN-lite,D-k2,D,2,test_iid,4,0.2298628985881805,0.23345031961798662,0.21339630335569376,0.09110376238822934
MGN-lite,D-k2,D,2,test_ood,4,0.2266411408782005,0.22156222537159917,0.14190518856048578,0.18486915528774256
RIGNO,A-k1,A,1,test_iid,4,0.12584145367145533,0.12465294077992436,0.0941611565649509,0.07831509038805956
RIGNO,A-k1,A,1,test_ood,4,0.1195254288613796,0.12556341849267477,0.0807614810764789,0.0893209390342235
RIGNO,A-k2,A,2,test_iid,4,0.2314042374491691,0.23124921321868894,0.2183902636170387,0.07808795571327204
RIGNO,A-k2,A,2,test_ood,4,0.20194987952709192,0.20154812932014463,0.19072648137807846,0.07724598795175544
RIGNO,B-k1,B,1,test_iid,4,0.12958514690399164,0.13342742994427678,0.09776853770017621,0.09368066489696494
