model,model_key,protocol,degree,task,seed,split,geometry_id,beta1,beta2,harmonic_dimension,basis_index,probe_mode,pure_harmonic_identity_error,harmonic_preservation_error,harmonic_to_nonharmonic_leakage,predicted_norm,coefficient_identity_error
MGN-lite,mgn-lite,A,1,A-k1,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.15107111632823944,0.12189579755067825,0.08924068510532379,0.8826273083686829,0.12189579010009766
MGN-lite,mgn-lite,A,1,A-k1,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.1371084451675415,0.1056896299123764,0.08734088391065598,0.8985651731491089,0.10568946599960327
MGN-lite,mgn-lite,A,1,A-k1,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.1703236699104309,0.14190641045570374,0.09419510513544083,0.8632481098175049,0.14190632104873657
MGN-lite,mgn-lite,A,1,A-k1,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.1489192247390747,0.11752624809741974,0.09145773947238922,0.8872003555297852,0.11752623319625854
MGN-lite,mgn-lite,A,1,A-k1,0,test_ood,PA_test_ood_0000_b11,1,1,1,0,combined,0.1438952386379242,0.10815499722957611,0.09491224586963654,0.8968811631202698,0.10815495252609253
MGN-lite,mgn-lite,A,1,A-k1,0,test_ood,PA_test_ood_0066_b11,1,1,1,0,combined,0.16959545016288757,0.11327283084392548,0.12622155249118805,0.8956656455993652,0.11327272653579712
MGN-lite,mgn-lite,A,1,A-k1,0,test_ood,PA_test_ood_0132_b11,1,1,1,0,combined,0.1795996129512787,0.1249970868229866,0.1289641261100769,0.8844556212425232,0.12499690055847168
MGN-lite,mgn-lite,A,1,A-k1,0,test_ood,PA_test_ood_0199_b11,1,1,1,0,combined,0.15374276041984558,0.11927962303161621,0.0970010757446289,0.8860460519790649,0.11927968263626099
MGN-lite,mgn-lite,A,2,A-k2,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.21954061090946198,0.21089382469654083,0.06100675091147423,0.7914608120918274,0.21089386940002441
MGN-lite,mgn-lite,A,2,A-k2,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.2689988911151886,0.2579519748687744,0.07629634439945221,0.7459599375724792,0.25795215368270874
