model,protocol,degree,task,harmonic_degradation,nonharmonic_degradation,harmonic_over_nonharmonic_degradation,contrast_ci95_low,contrast_ci95_high,significantly_more_harmonic_sensitive,significantly_more_nonharmonic_sensitive
GAOT,A,1,A-k1,0.9972966281633419,0.9484932989878637,1.0514535308025434,1.0345900718053656,1.0696663207747272,True,False
GAOT,A,2,A-k2,1.0117768325628296,0.9899448990575671,1.022053685539515,0.9927421085975827,1.0523370342375618,False,False
GAOT,B,1,B-k1,0.9857253830335989,0.9733914316816953,1.01267111148759,0.9944591861535876,1.031439515801462,False,False
GAOT,C,2,C-k2,0.9961645531348728,1.2043196179237754,0.8271596163585229,0.7925498698700238,0.861851254107712,False,True
GAOT,D,1,D-k1,0.9805088339665086,1.0145624169017406,0.9664352016515411,0.950302849086638,0.9829282505908262,False,True
GAOT,D,2,D-k2,0.9958383468866376,1.2305734752622977,0.8092473687313746,0.7838931165703401,0.8362687426317734,False,True
GNOT,A,1,A-k1,1.0949289935604483,0.9871012128782394,1.1092368029493138,1.0338210594692696,1.1910956071701686,True,False
GNOT,A,2,A-k2,1.2752487534731496,1.0651037800963583,1.1972999977126921,1.1025569932564951,1.2955120313892468,True,False
GNOT,B,1,B-k1,2.680529609601651,1.2437274019721463,2.1552388452254125,1.9591903222288518,2.367673904614627,True,False
GNOT,C,2,C-k2,1.6388040913340889,1.12621409373173,1.4551443641624862,1.3473810039035823,1.580574148500251,True,False
GNOT,D,1,D-k1,1.676834338389621,1.108375941116666,1.5128750780175224,1.395123045278134,1.6444718054938798,True,False
GNOT,D,2,D-k2,1.2237897208505621,1.1670576424507062,1.048611205082145,0.9656765932152188,1.1469945324239177,False,False
MGN-lite,A,1,A-k1,1.10136801769057,1.0134113859090537,1.0867926224280746,1.0043713976054711,1.1705981723530654,True,False
MGN-lite,A,2,A-k2,2.1295386458067354,1.1968258338763955,1.7793220914269365,1.6609556552826064,1.9087150121482082,True,False
MGN-lite,B,1,B-k1,1.1026554690001371,1.117513538294368,0.9867043496252329,0.9253451175145548,1.0534717837058976,False,False
MGN-lite,C,2,C-k2,1.0995014155015475,1.2501846410899526,0.8794712231810539,0.8279392401993838,0.9348862564004983,False,True
MGN-lite,D,1,D-k1,0.9957016383604331,1.1232103014629615,0.8864783710259329,0.8294971532559955,0.9437596004034234,False,True
MGN-lite,D,2,D-k2,0.7532952599281975,1.1659605113344929,0.6460727036681697,0.5987645813603595,0.6964611551900642,False,True
RIGNO,A,1,A-k1,1.0377298254132097,0.9673789576535651,1.0727231734813467,0.9998936507159114,1.151851201233135,False,False
RIGNO,A,2,A-k2,1.1921445356303515,1.0406562816228564,1.145569922252577,1.0706243970087002,1.2251600648307281,True,False
RIGNO,B,1,B-k1,1.3358443283820831,1.0262946315220856,1.3016187431487467,1.219547398411177,1.4011036333898872,True,False
RIGNO,C,2,C-k2,1.1770336918289444,1.0773189246225152,1.092558261929139,1.0451468527642593,1.1390121670415918,True,False
RIGNO,D,1,D-k1,1.4002171240386032,1.04346634853532,1.3418900628698212,1.2596983554826047,1.4313800960137038,True,False
RIGNO,D,2,D-k2,1.3012341386300745,1.0406948207265394,1.2503513159810338,1.1902952161272726,1.3202812042112821,True,False
TNO,A,1,A-k1,0.9457782515787758,1.0070770675823164,0.9391319512907783,0.8548373620619615,1.0283372365504382,False,False
TNO,A,2,A-k2,1.1910971440138818,0.9938119068911505,1.1985136581225722,1.0878541268226347,1.316745047580162,True,False
TNO,B,1,B-k1,1.8302925783716137,0.9713180353815811,1.884339126527786,1.7195896636870962,2.0681808541321374,True,False
TNO,C,2,C-k2,1.630703411022849,1.0044686892115662,1.62344872322783,1.49012592215985,1.7703931484535897,True,False
TNO,D,1,D-k1,1.8930293448381326,1.0203319793504564,1.855307275621446,1.6912353589751001,2.0344645797701437,True,False
TNO,D,2,D-k2,1.4230901131558116,1.2766206553421309,1.1147321698115775,1.0299843158688191,1.21067628289601,True,False
Transolver,A,1,A-k1,1.0230033654318813,0.9580549550207376,1.0677919466631618,1.004640904779826,1.1320157897151661,True,False
Transolver,A,2,A-k2,1.2882177853172283,1.0016636901363727,1.2860781497848268,1.189307228243743,1.3890534645356991,True,False
Transolver,B,1,B-k1,1.2544427830058558,0.9972142460092719,1.2579471141993614,1.1950253183831794,1.3224754051150973,True,False
Transolver,C,2,C-k2,1.2920136225943546,1.1047903072458614,1.1694650234714887,1.0820490675324153,1.2758870879280915,True,False
Transolver,D,1,D-k1,1.1604707347742556,0.992777157990177,1.1689136131249886,1.100902513238336,1.2370981167473796,True,False
Transolver,D,2,D-k2,1.0744994974710456,1.1574685122710076,0.9283185556061712,0.845841463232202,1.0192246981873447,False,False
